,architectural firm,count,frequency
0,taller de arquitectura,16,0.3333333333333333
1,oma (office for metropolitan architecture),11,0.22916666666666666
2,rafael viñoly architects,7,0.14583333333333334
3,foster associates,3,0.0625
4,coop himmelb(l)au,3,0.0625
5,site (sculpture in the environment),2,0.041666666666666664
6,"morphosis, santa monica, ca",2,0.041666666666666664
7,"abalos&herreros, madrid",1,0.020833333333333332
8,"atelier d'architecture christian de portzamparc, paris",1,0.020833333333333332
9,"architetti montagni, berizzi, butte",1,0.020833333333333332
10,diller + scofidio,1,0.020833333333333332
