,artist,count,frequency
0,Pablo Picasso,675,0.054290999758706666
1,Thomas Bewick,311,0.025014075444381886
2,Joan Miró,291,0.023405453229309096
3,Pierre Bonnard,210,0.016890533258264298
4,Sol LeWitt,200,0.016086222150727903
5,Unknown Artist,164,0.01319070216359688
6,E. McKnight Kauffer,146,0.011742942170031368
7,Fernand Léger,120,0.009651733290436742
8,Henri Matisse,120,0.009651733290436742
9,Ludwig Mies van der Rohe,118,0.009490871068929463
10,Anni Albers,115,0.009249577736668544
11,Jean (Hans) Arp,108,0.008686559961393068
12,Louis I. Kahn,106,0.008525697739885789
13,Unknown Designer,101,0.008123542186117591
14,Ernst Ludwig Kirchner,88,0.007077937746320277
15,Léo Marchutz,87,0.006997506635566637
16,Aleksandr Rodchenko,85,0.006836644414059358
17,Oskar Kokoschka,80,0.006434488860291161
18,Marc Chagall,80,0.006434488860291161
19,Vasily Kandinsky,79,0.006354057749537521
20,Tadanori Yokoo,79,0.006354057749537521
21,Herbert Bayer,79,0.006354057749537521
22,Giorgio de Chirico,73,0.005871471085015684
23,Hugo Gellert,71,0.005710608863508405
24,Max Ernst,70,0.005630177752754766
25,Eduardo Paolozzi,65,0.005228022198986568
26,James Prestini,58,0.004665004423711092
27,Bernard Tschumi,58,0.004665004423711092
28,Louise Bourgeois,57,0.004584573312957452
29,Walter Dexel,57,0.004584573312957452
30,László Moholy-Nagy,54,0.004343279980696534
31,A. M. Cassandre,54,0.004343279980696534
32,Zdeněk Rossmann,52,0.004182417759189255
33,Leonard Baskin,51,0.004101986648435615
34,Salvador Dalí,50,0.004021555537681976
35,El Lissitzky,49,0.003941124426928336
36,Gunta Stölzl,49,0.003941124426928336
37,Anatoli Lvovich Kaplan,48,0.0038606933161746963
38,Augustin Tschinkel,48,0.0038606933161746963
39,Philippe Starck,46,0.0036998310946674173
40,Ernst Barlach,44,0.0035389688731601384
41,Armin Hofmann,44,0.0035389688731601384
42,Johannes Molzahn,42,0.0033781066516528594
43,Georg Trump,41,0.00329767554089922
44,Abram Games,40,0.0032172444301455804
45,Lovis Corinth,40,0.0032172444301455804
46,Louis Comfort Tiffany,39,0.003136813319391941
47,Olga Rozanova,39,0.003136813319391941
48,André Derain,39,0.003136813319391941
49,Cedric Price,38,0.0030563822086383014
50,Max Beckmann,37,0.002975951097884662
51,Erik Gunnar Asplund,37,0.002975951097884662
52,Kirsten Hawthorne,37,0.002975951097884662
53,Gerald Laing,36,0.0028955199871310224
54,Joan Mitchell,36,0.0028955199871310224
55,Gerhard Marcks,36,0.0028955199871310224
