,author,count,frequency
0,aesop,334,0.08789473684210526
1,tristan tzara,183,0.04815789473684211
2,"longus, translation by messire j. amyot, translation by paul-louis courier",168,0.04421052631578947
3,pierre reverdy,130,0.034210526315789476
4,paul éluard,100,0.02631578947368421
5,guillaume apollinaire,89,0.023421052631578947
6,fernand léger,87,0.022894736842105263
7,according to st. luke from the bible,87,0.022894736842105263
8,aleksei kruchenykh,78,0.020526315789473684
9,vasily kandinsky,72,0.018947368421052633
10,henry de montherlant,69,0.018157894736842106
11,various authors,67,0.017631578947368422
12,jean (hans) arp,60,0.015789473684210527
13,karl marx,50,0.013157894736842105
14,frank o'hara,48,0.01263157894736842
15,georg heym,41,0.010789473684210526
16,oskar kokoschka,40,0.010526315789473684
17,stéphane mallarmé,39,0.010263157894736842
18,comte de lautréamont,39,0.010263157894736842
19,prosper mérimée,38,0.01
20,jakob bosshart,37,0.009736842105263158
21,ovid,37,0.009736842105263158
22,"aleksei kruchenykh, velimir khlebnikov",37,0.009736842105263158
23,samuel beckett,35,0.009210526315789473
24,"georges-louis leclerc, comte de buffon",35,0.009210526315789473
25,vladimir mayakovsky,33,0.008684210526315789
26,aimé césaire,31,0.008157894736842105
27,heinrich lautensack,31,0.008157894736842105
28,"edited by andré breton, texts by various authors",29,0.007631578947368421
29,luis de góngora y argote,27,0.007105263157894737
30,michel leiris,26,0.006842105263157895
31,anatole jakovski,25,0.006578947368421052
32,benjamin péret,24,0.00631578947368421
33,blaise cendrars (frédéric sauser),23,0.0060526315789473685
34,jean tinguely,21,0.005526315789473684
35,arthur miller,21,0.005526315789473684
36,henry a. wallace,21,0.005526315789473684
37,ernst barlach,20,0.005263157894736842
38,henri michaux,20,0.005263157894736842
39,stephen spender,20,0.005263157894736842
40,"iliazd (il'ia zdanevich), pablo picasso",20,0.005263157894736842
41,iliazd (il'ia zdanevich),20,0.005263157894736842
42,henri matisse,19,0.005
43,michel seuphor,19,0.005
44,"adrian de monluc, comte de cramail",19,0.005
45,joseph delteil,19,0.005
46,ay-o,18,0.004736842105263158
47,john ashbery,18,0.004736842105263158
48,honoré de balzac,18,0.004736842105263158
49,charles hine,18,0.004736842105263158
