,copyright,count,frequency
0,"© 2020 artists rights society (ars), new york / adagp, paris",984,0.18970503181029497
1,"© 2020 estate of pablo picasso / artists rights society (ars), new york",677,0.13051860420281472
2,"© 2020 artists rights society (ars), new york / vg bild-kunst, bonn",633,0.12203585887796414
3,"© 2020 successió  miró / artists rights society (ars), new york / adagp, paris",291,0.05610179294389821
4,"© 2020 the josef and anni albers foundation / artists rights society (ars), new york",123,0.02371312897628687
5,"© 2020 succession h. matisse / artists rights society (ars), new york",120,0.02313475997686524
6,"© 2020 sol lewitt / artists rights society (ars), new york",114,0.02197802197802198
7,© 2020 estate of louis i. kahn,107,0.02062849431270484
8,"© 2020 sol lewitt/artists rights society (ars), new york",86,0.01657991131675342
9,"© 2020 artists rights society (ars), new york / pro litteris, zurich",85,0.016387121650279547
10,© 2020 tadanori yokoo,79,0.015230383651436284
11,"© 2020 artists rights society (ars), new york / siae, rome",74,0.014266435319066899
12,"© 2020 artists rights society (ars), new york / dacs, london",66,0.012724117987275883
13,© 2020 bernard tschumi,58,0.011181800655484866
14,"© the easton foundation/vaga at ars, ny",57,0.01098901098901099
15,"© 2020 salvador dalí, gala-salvador dalí foundation / artists rights society (ars), new york",50,0.00963948332369385
16,"© 2020 gerhard-marcks-stiftung, bremen, germany",36,0.006940427993059572
17,© 2020 zaha hadid,35,0.006747638326585695
18,"© 2020 jasper johns / licensed by vaga, new york",34,0.006554848660111818
19,"© 2020 frank lloyd wright foundation / artists rights society (ars), new york",32,0.006169269327164064
20,© 2020 mario botta,30,0.00578368999421631
21,@ 2013 the estate of serge spitzer,30,0.00578368999421631
22,© 2020 alex katz,28,0.005398110661268556
23,© 2020 estate of dieter roth,27,0.005205320994794679
24,© 2020 alexander matter,25,0.004819741661846925
25,© 2020 rem koolhaas,25,0.004819741661846925
26,© 2020 mario bellini,25,0.004819741661846925
27,© 2020 antonio frasconi,24,0.004626951995373048
28,"© 2020 artists rights society (ars), new york / pictoright, amsterdam",24,0.004626951995373048
29,"© 2020 carl andre / licensed by vaga at artists rights society (ars), ny",23,0.004434162328899171
30,"© 2020 bruce conner / artists rights society (ars), new york",23,0.004434162328899171
31,© 2020 leon krier,22,0.004241372662425294
32,"© 2020 artists rights society (ars), new york / adagp, paris / estate of marcel duchamp",21,0.004048582995951417
33,"© 2020 estate of larry rivers/licensed by vaga, new york, ny",20,0.00385579332947754
34,"© 2020 max burchartz / artists rights society (ars), new york / vg bild-kunst, germany",19,0.003663003663003663
35,© 2020 reiko sudo,19,0.003663003663003663
36,"© 2020 jules chéret / artists rights society (ars), new york",18,0.003470213996529786
37,"© 2020 barnett newman foundation / artists rights society (ars), new york",18,0.003470213996529786
38,© 2020 ay-o,18,0.003470213996529786
39,© estate of joan mitchell,17,0.003277424330055909
40,© 2020 ettore sottsass,17,0.003277424330055909
41,"© 2020 artists rights society (ars), new york / beeldrecht, amsterdam",17,0.003277424330055909
42,"© 2020 estate of isamu noguchi / artists rights society (ars), new york",16,0.003084634663582032
43,© 2020 john cage trust,16,0.003084634663582032
44,© 2020 ricardo bofill,16,0.003084634663582032
45,© 2020 raimund abraham,15,0.002891844997108155
46,© 2020 terry winters,15,0.002891844997108155
47,"© 2020 estate of yves tanguy / artists rights society (ars), new york",15,0.002891844997108155
48,© 2020 barbara kruger,15,0.002891844997108155
49,"© 2020 raoul hausmann / artists rights society (ars), new york / adagp, paris",15,0.002891844997108155
50,"© 2020 artists rights society (ars), new york / adagp, paris / flc",14,0.002699055330634278
51,"© 2020 josé luis cuevas / artists rights society (ars), new york / somaap, mexico",14,0.002699055330634278
52,© 2020 steven holl,14,0.002699055330634278
53,© 2020 hans hollein,14,0.002699055330634278
54,© 2020 robert venturi,14,0.002699055330634278
55,© 2020 walter pichler,13,0.002506265664160401
56,"© 2020 karl johannes christian hofer / artists rights society (ars), new york / vg bild-kunst, germany",13,0.002506265664160401
57,© 2020 arata isozaki,13,0.002506265664160401
58,"© 2020 al held foundation, inc. / licensed by ars, new york, ny",13,0.002506265664160401
59,"© 2020 calder foundation, new york / artists rights society (ars), new york",13,0.002506265664160401
60,© 2020 gaetano pesce,13,0.002506265664160401
61,© 2020 kiki smith,12,0.002313475997686524
62,"© 2020 tom phillips / artists rights society (ars), new york / dacs, london",12,0.002313475997686524
63,© 2020 james wines,12,0.002313475997686524
64,© 2020 richard meier,11,0.002120686331212647
65,© 2020 robert ryman,11,0.002120686331212647
66,"© 2020 artists rights society (ars), new york / sabam, brussels",11,0.002120686331212647
67,"© 2020 / artists rights society (ars), new york / adagp, paris",11,0.002120686331212647
68,"© 2020 robert mangold/artists rights society (ars), new york",10,0.00192789666473877
69,"© 2020 howardena pindell. courtesy the artist and garth greenan gallery, new york",10,0.00192789666473877
70,"© 2020 karl caspar / artists rights society (ars), new york / vg bild-kunst, germany",9,0.001735106998264893
71,"© 2020 / artists rights society (ars), new york",9,0.001735106998264893
72,"© 2020 morgan art foundation ltd. / artists rights society (ars), new york",9,0.001735106998264893
73,"© 2020 jim dine / artists rights society (ars), new york",9,0.001735106998264893
74,© 2020 friedrich st. florian,8,0.001542317331791016
75,© 2020 claes oldenburg,8,0.001542317331791016
76,"© 2020 santiago calatrava / artists rights society (ars), new york / vegap, spain",8,0.001542317331791016
77,© 2020 paula scher,8,0.001542317331791016
78,© 2020 emilio ambasz,8,0.001542317331791016
79,"© 2020 the saul steinberg foundation / artists rights society (ars), new york",7,0.001349527665317139
80,© 2020 burle marx & cia.ltda,7,0.001349527665317139
81,© 2020 richard sapper and marco zanuso,7,0.001349527665317139
82,© 2020 robert rauschenberg foundation,7,0.001349527665317139
83,"© 2020 andy warhol foundation for the visual arts / artists rights society (ars), new york",7,0.001349527665317139
84,© 2020 richard sapper,7,0.001349527665317139
85,© 2020 lee bontecou,7,0.001349527665317139
86,© 2020 lauretta vinciarelli,6,0.001156737998843262
87,© 2020 sergio asti,6,0.001156737998843262
88,"© 2020 estate of louise nevelson / artists rights society (ars), new york",6,0.001156737998843262
89,"© 2020 kurt seligmann / artists rights society (ars), new york",6,0.001156737998843262
