,credit,count,frequency
0,the louis e. stern collection,2177,0.17674758463911666
1,gift of the designer,843,0.06844199074449947
2,"jan tschichold collection, gift of philip johnson",810,0.06576276690752618
3,gift of the manufacturer,784,0.06365186327839571
4,purchase,515,0.04181212957700739
5,gift of the artist,365,0.029633839408946983
6,gift of the judith rothschild foundation,298,0.024194203133880002
7,abby aldrich rockefeller fund,216,0.01753673784200698
8,given anonymously,191,0.015507022813996916
9,gift of the architect,180,0.014613948201672486
10,gift of allen skolnick,135,0.010960461151254364
11,phyllis b. lambert fund,135,0.010960461151254364
12,gift of the howard gilman foundation,128,0.010392140943411544
13,john b. turner fund,118,0.009580254932207518
14,monroe wheeler fund,113,0.009174311926605505
15,purchase fund,104,0.008443614516521881
16,gift of mrs. bertha m. slattery,99,0.008037671510919867
17,gift of the architect in honor of philip johnson,90,0.007306974100836243
18,"gift of the lauder foundation, leonard and evelyn lauder fund",88,0.007144596898595437
19,gift of abby aldrich rockefeller,88,0.007144596898595437
20,"mies van der rohe archive, gift of the architect",82,0.006657465291873021
21,gift of philip johnson,72,0.005845579280668994
22,gift of lincoln kirstein,71,0.005764390679548591
23,gift of the designers,64,0.005196070471705772
24,acquired by exchange,63,0.00511488187058537
25,gift of mrs. john carter,56,0.004546561662742551
26,gift of curt valentin,55,0.004465373061622148
27,gift of shell - mex b p,55,0.004465373061622148
28,purchase and partial gift of the architect in honor of lily auchincloss,53,0.0043029958593813426
29,estée and joseph lauder design fund,53,0.0043029958593813426
30,gift of josef albers,52,0.004221807258260941
31,philip johnson fund,50,0.004059430056020135
32,gift of the judith rothschild foundation (boris kerdimun archive),50,0.004059430056020135
33,anonymous gift,49,0.003978241454899732
34,gift of eric estorick in memory of judge henry epstein,48,0.0038970528537793296
35,peter stone collection of posters by artists,48,0.0038970528537793296
36,"purchase fund, jan tschichold collection",46,0.003734675651538524
37,transferred from the museum library,45,0.0036534870504181215
38,gift of g. david thompson,45,0.0036534870504181215
39,"david whitney collection, gift of david whitney",44,0.0035722984492977186
40,blanchette hooker rockefeller fund,44,0.0035722984492977186
41,gift of the london passenger transport board,43,0.0034911098481773158
42,gift of ludwig charell,41,0.0033287326459365105
43,"riva castleman endowment fund, lily auchincloss fund, and gift of parkett",39,0.003166355443695705
44,given anonymously in memory of sidney feldman,38,0.0030851668425753024
45,gift of joseph h. heil,37,0.0030039782414549
46,"gift of edgar kaufmann, jr.",37,0.0030039782414549
47,marshall cogan purchase fund,36,0.002922789640334497
48,henry church fund,36,0.002922789640334497
49,johanna and leslie j. garfield fund,35,0.0028416010392140942
50,gift of the museum of modern art department of publications,35,0.0028416010392140942
51,gift of mr. and mrs. peter a. rübel,35,0.0028416010392140942
52,inter-american fund,34,0.002760412438093692
53,gift of g. e. kidder smith,33,0.002679223836973289
54,gift of jack lenor larsen,32,0.002598035235852886
55,gift of peter deitsch gallery,32,0.002598035235852886
56,"gift of r. kirk askew, jr.",31,0.0025168466347324837
57,gift of celeste and armand bartos (in perpetuity),31,0.0025168466347324837
58,gift of ivan chermayeff,30,0.002435658033612081
59,"gift of the kunstgewerbe museum, zürich",30,0.002435658033612081
60,joseph h. heil bequest,29,0.002354469432491678
61,curt valentin bequest,28,0.0022732808313712756
62,gift of the designers through the netherlands design institute,28,0.0022732808313712756
63,"gift of bonniers, inc.",27,0.0021920922302508727
64,"gift of the general post office, england",27,0.0021920922302508727
65,greta daniel design fund,27,0.0021920922302508727
66,gift of bernard davis,27,0.0021920922302508727
67,donald h. karshan fund,26,0.0021109036291304703
68,"gift of page, arbitrio and resen",26,0.0021109036291304703
