,date,count,frequency
0,1818,311,0.025014075444381886
1,1980,215,0.017292688812032494
2,Unknown,192,0.015442773264698785
3,1967,188,0.015121048821684227
4,1902,181,0.014558031046408751
5,1934,176,0.014155875492640553
6,1930,168,0.013512426606611437
7,1966,154,0.012386391056060484
8,1919,151,0.012145097723799566
9,1950,151,0.012145097723799566
10,1968,149,0.011984235502292287
11,1964,139,0.011179924394755892
12,"1947–49, published 1949",128,0.010295182176465857
13,1929,127,0.010214751065712218
14,1923,126,0.010134319954958578
15,1928,126,0.010134319954958578
16,1965,125,0.010053888844204939
17,1992,124,0.0099734577334513
18,1976,121,0.009732164401190381
19,1962,120,0.009651733290436742
20,1963,119,0.009571302179683102
21,1969,118,0.009490871068929463
22,1916,118,0.009490871068929463
23,1949,116,0.009330008847422184
24,"1945–48, published 1948",114,0.009169146625914905
25,1972,113,0.009088715515161265
26,1924,113,0.009088715515161265
27,1933,112,0.009008284404407626
28,1951,109,0.008766991072146707
29,1943,107,0.008606128850639428
30,1932,106,0.008525697739885789
31,1983,105,0.008445266629132149
32,1931,105,0.008445266629132149
33,1956,102,0.00820397329687123
34,1935,101,0.008123542186117591
35,1974,97,0.007801817743103032
36,1978,94,0.007560524410842114
37,1957,93,0.007480093300088474
38,"1947–58, published 1958",92,0.007399662189334835
39,1927,89,0.007158368857073916
40,1948,88,0.007077937746320277
41,1954,88,0.007077937746320277
42,1960,87,0.006997506635566637
43,1973,84,0.006756213303305719
44,1958,83,0.006675782192552079
45,1979,83,0.006675782192552079
46,1926,82,0.00659535108179844
47,1920,82,0.00659535108179844
48,1984,82,0.00659535108179844
49,1981,82,0.00659535108179844
50,1942,81,0.0065149199710448
51,1971,79,0.006354057749537521
52,1986,79,0.006354057749537521
53,1925,79,0.006354057749537521
54,"1948–50, published 1950",78,0.006273626638783882
55,1989,77,0.006193195528030242
56,1953,77,0.006193195528030242
57,1918,77,0.006193195528030242
58,1947,74,0.005951902195769324
59,1991,73,0.005871471085015684
60,1961,73,0.005871471085015684
61,1941,71,0.005710608863508405
62,1977,70,0.005630177752754766
63,1970,70,0.005630177752754766
64,1955,69,0.005549746642001126
65,1937,68,0.005469315531247487
66,1936,68,0.005469315531247487
67,1922,67,0.005388884420493847
68,1959,66,0.005308453309740208
69,1913,65,0.005228022198986568
70,1995,64,0.005147591088232929
71,1988,60,0.004825866645218371
72,1923-48,59,0.004745435534464731
73,1997,59,0.004745435534464731
74,"1943–44, published 1944",58,0.004665004423711092
75,c. 1900,58,0.004665004423711092
76,1993,58,0.004665004423711092
77,1946,57,0.004584573312957452
78,"1951–52, published 1952",56,0.004504142202203813
