,dimensions,count,frequency
0,"composition: 2 5/16 × 3 1/8"" (5.8 × 8 cm); page (irreg.): 8 1/4 × 5 5/16"" (21 × 13.5 cm)",72,0.005854610505773296
1,"30 x 45"" (76.2 x 114.3cm)",47,0.003821759635713124
2,"11 11/16 x 8 1/4"" (29.7 x 21 cm)",41,0.0033338754268986827
3,"composition: 2 5/16 × 3 3/16"" (5.8 × 8.1 cm); page (irreg.): 8 1/4 × 5 5/16"" (21 × 13.5 cm)",34,0.0027646771832818343
4,"14 x 18"" (35.6 x 45.7 cm)",29,0.0023581070092698
5,"composition (irreg.): 5 7/8 × 5 1/2"" (15 × 14 cm); page (each): 11 7/16 × 9 3/8"" (29 × 23.8 cm)",28,0.002276792974467393
6,"composition: 2 1/4 × 3 3/16"" (5.7 × 8.1 cm); page (irreg.): 8 1/4 × 5 5/16"" (21 × 13.5 cm)",26,0.0021141649048625794
7,"11 11/16 x 8 3/16"" (29.6 x 20.8 cm)",25,0.0020328508700601725
8,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)",24,0.0019515368352577655
9,"40 x 25"" (101.6 x 63.5cm)",23,0.0018702228004553586
10,"composition and page: 10 9/16 × 10 9/16"" (26.9 × 26.9 cm)",23,0.0018702228004553586
11,"30 x 40"" (76.2 x 101.6 cm)",23,0.0018702228004553586
12,"composition: 7 7/8 x 7 7/8"" (20 x 20 cm); page: 9 1/16 x 9 1/16"" (23 x 23 cm)",23,0.0018702228004553586
13,"30 x 20"" (76.2 x 50.8 cm)",20,0.0016262806960481379
14,"3 3/4 x 5 11/16"" (9.5 x 14.5 cm)",20,0.0016262806960481379
15,"composition: 2 1/4 × 3 1/8"" (5.7 × 8 cm); page (irreg.): 8 1/4 × 5 5/16"" (21 × 13.5 cm)",20,0.0016262806960481379
16,"composition (irreg.): 6 × 5 1/2"" (15.2 × 14 cm); page (each): 11 7/16 × 9 3/8"" (29 × 23.8 cm)",19,0.001544966661245731
17,"11 5/8 x 8 1/4"" (29.5 x 21 cm)",17,0.0013823385916409171
18,"11 11/16 x 8 5/16"" (29.7 x 21.1 cm)",17,0.0013823385916409171
19,"40 x 40"" (101.6 x 101.6 cm)",17,0.0013823385916409171
20,"40 x 25"" (101.6 x 63.5 cm)",15,0.0012197105220361035
21,"page (each): 20 × 13 1/2"" (50.8 × 34.3 cm); overall (closed): 20 1/4 × 13 7/8 × 1 1/8"" (51.5 × 35.3 × 2.9 cm)",15,0.0012197105220361035
22,"composition: 9 15/16 x 9 15/16"" (25.2 x 25.2 cm); page: 11 7/16 x 11 9/16"" (29 x 29.4 cm)",15,0.0012197105220361035
23,"composition: 9 13/16 x 9 7/8"" (25 x 25.1 cm); page: 11 7/16 x 11 9/16"" (29 x 29.4 cm)",15,0.0012197105220361035
24,"page (each): 21 1/8 × 15 1/8"" (53.6 × 38.4 cm); overall (closed): 21 1/8 × 15 3/8 × 1 3/8"" (53.6 × 39 × 3.5 cm)",14,0.0011383964872336966
25,"11 3/4 x 8 1/4"" (29.8 x 21 cm)",14,0.0011383964872336966
26,"composition: 7 15/16 x 7 7/8"" (20.1 x 20 cm); page: 9 1/16 × 9 1/8"" (23 × 23.1 cm)",13,0.0010570824524312897
27,"8 1/4 x 5 7/8"" (21 x 14.9 cm)",13,0.0010570824524312897
28,"composition: 7 7/8 x 7 15/16"" (20 x 20.1 cm); page: 9 1/16 × 9 1/8"" (23 × 23.1 cm)",13,0.0010570824524312897
29,"30 x 40"" (76.1 x 101.5 cm)",13,0.0010570824524312897
30,"composition: 7 13/16 x 7 13/16"" (19.9 x 19.9 cm); page: 9 1/16 x 9 1/16"" (23 x 23 cm)",13,0.0010570824524312897
31,"50 3/8 x 35 5/8"" (128 x 90.5 cm)",13,0.0010570824524312897
32,"40 x 30"" (101.6 x 76.2 cm)",12,0.0009757684176288828
33,"16 1/2 x 23 1/2"" (41.9 x 59.7 cm)",12,0.0009757684176288828
34,"39 3/4 x 24 3/4"" (101 x 62.9 cm)",12,0.0009757684176288828
35,"19 x 29"" (48.3 x 73.7 cm)",12,0.0009757684176288828
36,"30 x 45"" (76.2 x 114.3 cm)",12,0.0009757684176288828
37,"30 x 20"" (76.2 x 50.8cm)",12,0.0009757684176288828
38,"folder: 12 5/16 x 10 3/8"" (31.2 x 26.3 cm)",11,0.0008944543828264759
39,"40 1/2 x 28 5/8"" (102.8 x 72.5 cm)",11,0.0008944543828264759
40,"19 x 31"" (48.3 x 78.7 cm)",11,0.0008944543828264759
41,"4 1/8 x 5 13/16"" (10.5 x 14.8 cm)",11,0.0008944543828264759
42,"5 13/16 x 4 1/8"" (14.8 x 10.5 cm)",11,0.0008944543828264759
43,"14 3/4 x 17 3/4"" (37.5 x 45.1 cm)",11,0.0008944543828264759
44,"composition (irreg.): 5 7/8 × 5 7/16"" (15 × 13.8 cm); page (each): 11 7/16 × 9 3/8"" (29 × 23.8 cm)",11,0.0008944543828264759
45,"composition: 7 15/16 x 7 15/16"" (20.1 x 20.1 cm); page: 9 1/16 × 9 1/8"" (23 × 23.1 cm)",10,0.0008131403480240689
46,"42 x 28"" (106.7 x 71.1 cm)",10,0.0008131403480240689
47,"4 1/2 x 6 3/8"" (11.4 x 16.2 cm)",10,0.0008131403480240689
48,"19 x 13 1/2"" (48.3 x 34.3 cm)",10,0.0008131403480240689
49,"16 1/2 x 11 3/4"" (41.9 x 29.8 cm)",10,0.0008131403480240689
50,"composition (irreg.): 6 1/16 × 5 9/16"" (15.4 × 14.1 cm); page (each): 11 7/16 × 9 3/8"" (29 × 23.8 cm)",9,0.000731826313221662
51,"28 5/8 x 20 1/4"" (72.5 x 51.4 cm)",9,0.000731826313221662
52,"50 1/4 x 35 1/2"" (127.6 x 90.1 cm)",9,0.000731826313221662
53,"composition  10 15/16 x 8 7/16"" (27.8 x 21.5 cm)",9,0.000731826313221662
54,"composition (irreg.): 5 7/8 × 5 9/16"" (15 × 14.1 cm); page (each): 11 7/16 × 9 3/8"" (29 × 23.8 cm)",9,0.000731826313221662
55,"11 11/16 x 8 3/16"" (29.7 x 20.8 cm)",9,0.000731826313221662
56,"7 7/8 x 8"" (20 x 20.3 cm)",9,0.000731826313221662
57,"11 3/4 x 8 5/16"" (29.8 x 21.1 cm)",9,0.000731826313221662
58,"plate: 3 7/16 × 2 7/16"" (8.7 × 6.2 cm); page: 5 1/2 × 4 5/16"" (14 × 11 cm)",8,0.0006505122784192552
59,"composition (irreg.): 5 15/16 × 5 1/2"" (15.1 × 14 cm); page (each): 11 7/16 × 9 3/8"" (29 × 23.8 cm)",8,0.0006505122784192552
