,manufacturer,count,frequency
0,"braun ag, frankfurt, germany, est. 1921",41,0.018695850433196534
1,"tiffany studios, new york, ny",34,0.015503875968992248
2,"chemex corp., new york, ny",33,0.015047879616963064
3,james prestini,31,0.014135886912904697
4,"daum frères, nancy, france",25,0.011399908800729594
5,"iittala glassworks, iittala, finland",25,0.011399908800729594
6,"cristalleria nason e moretti, venezia-murano, italy",25,0.011399908800729594
7,"gebrüder thonet, vienna, austria",24,0.01094391244870041
8,"tupper corporation, farnumsville, ma",21,0.009575923392612859
9,"herman miller, inc., zeeland, mi",20,0.009119927040583675
10,"bruno danese, milan, italy",20,0.009119927040583675
11,"nuno corporation, tokyo, japan",17,0.007751937984496124
12,"arabia, wärtsilä ab, helsinki, finland",16,0.00729594163246694
13,"knoll international, inc., new york, ny",16,0.00729594163246694
14,"ibm, east fishkill, ny",16,0.00729594163246694
15,"coors porcelain co., golden, co",15,0.006839945280437756
16,"oy huonekalu-ja rakennustyötehdas ab, turku, finland",15,0.006839945280437756
17,"kartell s.p.a., milan, italy",14,0.006383948928408573
18,unknown,14,0.006383948928408573
19,"knoll associates, new york, ny",14,0.006383948928408573
20,"corning glass works, corning, ny",14,0.006383948928408573
21,"rosenthal porzellan a.g., selb, germany",13,0.005927952576379389
22,"ing. c. olivetti & c. s.p.a., ivrea, italy",13,0.005927952576379389
23,"evans products co., molded plywood div., venice, ca",13,0.005927952576379389
24,"nuutajärvi glass works, wärtsilä, finland",13,0.005927952576379389
25,"ceramic japan co. ltd., aichi-ken, japan",13,0.005927952576379389
26,"venini & co., murano, italy",13,0.005927952576379389
27,"rfsu rehab, stockholm, sweden",12,0.005471956224350205
28,"j.p. kayser sohn, cologne",12,0.005471956224350205
29,"carrollton metal products company, carrollton, oh",12,0.005471956224350205
30,"georg jensen sølvsmedie, copenhagen, denmark",11,0.005015959872321021
31,"cassina, s.p.a., milan",11,0.005015959872321021
32,"red lion table co., pennsylvania",11,0.005015959872321021
33,"ab gustavsberg fabriker, sweden",11,0.005015959872321021
34,"vereinigte lausitzer glaswerke a.g., weisswasser, germany",11,0.005015959872321021
35,"orrefors, sweden",10,0.004559963520291838
36,"cyrus clark co., inc., new york, ny",10,0.004559963520291838
37,"j. & l. lobmeyr, vienna",10,0.004559963520291838
38,"the isokon furniture company, london",10,0.004559963520291838
39,"bang & olufsen, struer, denmark",10,0.004559963520291838
40,"the aluminum cooking utensil co., new york, ny",10,0.004559963520291838
41,"dresdner werkstätten für handwerkskunst, dresden",9,0.004103967168262654
42,"bauhaus metal workshop, germany",9,0.004103967168262654
43,"akari associates, long island city, new york",9,0.004103967168262654
44,"n.v. koninklijke nederlandse glasfabriek, leerdam, the netherlands",9,0.004103967168262654
45,"moss rose manufacturing co., philadelphia, pa",9,0.004103967168262654
46,"brionvega s.p.a., italy",9,0.004103967168262654
47,"grasoli-werk gebr. grah, solingen, germany",9,0.004103967168262654
48,"ekco products co., chicago, il",9,0.004103967168262654
49,"arteluce s.a., milan",9,0.004103967168262654
50,"danese s.r.l., italy",9,0.004103967168262654
51,unknown german manufacturer,9,0.004103967168262654
52,"berliner metallgewerbe joseph müller, germany",8,0.00364797081623347
53,"morris & co., london",8,0.00364797081623347
54,"alias spa, bergamo, italy",8,0.00364797081623347
55,ed rossbach,8,0.00364797081623347
56,"officina alessi, italy",8,0.00364797081623347
57,"deutsche werkstätten für handwerkskunst, germany",8,0.00364797081623347
