,medium,count,frequency
0,lithograph,1484,0.11941739760199566
1,letterpress,723,0.058179769855958796
2,offset lithograph,615,0.04948901585257906
3,wood engraving from an illustrated book with 323 wood engravings and one etching and engraving,311,0.025026152731954614
4,silkscreen,287,0.023094874064536895
5,one from an illustrated book with 156 lithographs (including wrapper front),176,0.014162710227729943
6,glass,163,0.013116600949545344
7,photolithograph,149,0.011990021726885009
8,one from an illustrated book with sixty-three etchings,130,0.01046109278184598
9,lithograph from an illustrated book with 123 lithographs,114,0.009173573670234168
10,one from an illustrated book with eighty-three lithographs (including wrapper front and back),86,0.006920415224913495
11,lithograph from an illustrated book with eighty-six lithographs (including wrapper) and a supplementary suite of four drawings,81,0.006518065502534804
12,stainless steel,80,0.006437595558059065
13,lithograph from an illustrated book with seventy-two lithographs (including variants on folder and slipcase) and one lithographed collage (wrapper front),73,0.0058743059467288965
14,woodcut and collagraph from an illustrated book with seventy-five woodcuts and collagraphs (including wrapper front) and five woodcuts (eleven with collage),73,0.0058743059467288965
15,plastic,61,0.004908666613020037
16,engraving,60,0.004828196668544299
17,drypoint,57,0.004586786835117084
18,one from an illustrated book with sixty-eight lithographs (including wrapper),55,0.0044258469461656074
19,linoleum cut from an illustrated book with 51 linoleum cuts (including wrapper),54,0.004345377001689869
20,etching,53,0.00426490705721413
21,glazed porcelain,52,0.0041844371127383925
22,graphite on tracing paper,51,0.004103967168262654
23,lithograph from an illustrated book with sixty-two lithographs,50,0.004023497223786915
24,woodcut from an illustrated book with fifty-six woodcuts,49,0.0039430272793111775
25,journal,43,0.0034602076124567475
26,woodcut from an illustrated book of fifty woodcuts,40,0.0032187977790295325
27,book with letterpress cover,40,0.0032187977790295325
28,ink on paper,39,0.0031383278345537943
29,ink on tracing paper,39,0.0031383278345537943
30,one from an illustrated book with forty-two photogravure and drypoints after celluloid engravings,38,0.0030578578900780557
31,one from an illustrated book with thirty-nine etchings (including title page and colophon),38,0.0030578578900780557
32,etching and drypoint,37,0.0029773879456023175
33,one from a portfolio of 29 photocopies,37,0.0029773879456023175
34,etching from an illustrated book with 30 etchings,35,0.0028164480566508407
35,one from an illustrated book with forty-six lithographs,35,0.0028164480566508407
36,woodcut from an illustrated book with twenty-four woodcuts,35,0.0028164480566508407
37,charcoal on tracing paper,33,0.0026555081676993644
38,one from an illustrated book with thirty etchings (including supplementary plate),33,0.0026555081676993644
39,aluminum,32,0.0025750382232236258
40,one from an illustrated book with thirty-two woodcuts,32,0.0025750382232236258
41,screenprint,31,0.0024945682787478876
42,linocut,31,0.0024945682787478876
43,polyethylene,31,0.0024945682787478876
44,lithograph from an illustrated book with twenty one lithographs,30,0.0024140983342721494
45,lithograph from an illustrated book of twenty-four lithographs,28,0.0022531584453206726
