,model maker,count,frequency
0,paul bonfilio,4,0.05970149253731343
1,"lenon kaplan, and paul bonfilio, with norman baker, lawrence list, richard plewinski, robert platts, umit koroglu, lenon and sokolowski studios",4,0.05970149253731343
2,"richard sturgeon, derek conde",3,0.04477611940298507
3,klaus stolt,3,0.04477611940298507
4,model maker: derek hamner,3,0.04477611940298507
5,"jan kinsbergen, tim bade",2,0.029850746268656716
6,"umit koroglu, brad whitermore",2,0.029850746268656716
7,atsushi tokushige,2,0.029850746268656716
8,david kessler,2,0.029850746268656716
9,"model makers: paul bonfilio, with edith randel, and lenon kaplan",2,0.029850746268656716
10,"annette hammer, ascan mergenthaler",2,0.029850746268656716
11,"conrad hamerman, thomas borkowski",2,0.029850746268656716
12,"pao-chi chang, henry kanazawa, yujiro miwa",2,0.029850746268656716
13,james wines,2,0.029850746268656716
14,studio libeskind,2,0.029850746268656716
15,"armando petrucelli, ken garcia, gustavo arnone",2,0.029850746268656716
16,"asymptote architecture, new york",2,0.029850746268656716
17,theodore j. century,2,0.029850746268656716
18,"kwang paik, coren denningham sharples, william sharples, terry surjan",2,0.029850746268656716
19,"environ architectural modelbuilders inc., tempe, az",2,0.029850746268656716
20,coop himmelb(l)au,2,0.029850746268656716
21,model maker: willi zaborowsky,1,0.014925373134328358
22,josef andraschko,1,0.014925373134328358
23,albert maloof,1,0.014925373134328358
24,"richard meier & partners, architects",1,0.014925373134328358
25,robert a.m. stern architects,1,0.014925373134328358
26,gerard van de groenekan,1,0.014925373134328358
27,"mina mei-szu chow, rosa-maria colina, cornelius deckert, robert kim, maria laurent, pierre-olivier milanini, hadrian predock, jason winstanley",1,0.014925373134328358
28,"herzog & de meuron, basel",1,0.014925373134328358
29,steven holl architects,1,0.014925373134328358
30,audra tuskes,1,0.014925373134328358
31,"chas smith, brynat yeh, andrew wong",1,0.014925373134328358
32,"price harrison, jeremy moser",1,0.014925373134328358
33,"toyo ito & associates, architects",1,0.014925373134328358
34,"john claggett, jerry pomerantz, laura montealegre, paul lubowicki, susan lanier",1,0.014925373134328358
35,kazuyo sejima & associates,1,0.014925373134328358
36,"jr. g. nyenhnis, delft, the netherlands",1,0.014925373134328358
37,mauro mauri,1,0.014925373134328358
38,"the group, juha kaakko, ilkka laine, kimmo liimatainen, jari tirkkonen",1,0.014925373134328358
