,printer,count,frequency
0,"mourlot, paris",419,0.07919107919107919
1,"lacourière, paris",351,0.06633906633906633
2,edward walker,310,0.05859005859005859
3,"crown point press, san francisco",192,0.036288036288036285
4,auguste clot,176,0.033264033264033266
5,"fequet et baudier, paris",117,0.022113022113022112
6,unknown,99,0.018711018711018712
7,"m.w. lassally, berlin",93,0.017577017577017576
8,"atelier lacourière et frélaut, paris",90,0.01701001701001701
9,léo marchutz,87,0.016443016443016444
10,"desjobert, paris",81,0.015309015309015309
11,"e. desjobert, paris",70,0.01323001323001323
12,"universal limited art editions, west islip, new york",62,0.011718011718011718
13,"spamersche buchdruckerei, leipzig",58,0.010962010962010962
14,"dr. c. wolf & sohn, munich",54,0.010206010206010205
15,"atelier georges leblanc, paris",48,0.009072009072009071
16,"éditions georges visat & cie., paris",47,0.008883008883008883
17,"poeschel & trepte, leipzig",45,0.008505008505008505
18,"louis fort, paris",44,0.008316008316008316
19,"lacourière-frélaut, paris",43,0.008127008127008128
20,"vincent brooks, day & son, ltd., london",41,0.007749007749007749
21,"harlan & weaver, new york",39,0.007371007371007371
22,"wassermann a.g., basel",39,0.007371007371007371
23,"alecto studios, london",38,0.007182007182007182
24,"kelpra studios ltd., london",38,0.007182007182007182
25,"e. haberland, leipzig, germany",38,0.007182007182007182
26,"kirsten hawthorne, new york",37,0.006993006993006993
27,"atelier crommelynck, paris",37,0.006993006993006993
28,"richard von sichowsky, hamburg",36,0.006804006804006804
29,"h. berthold ag, berlin",36,0.006804006804006804
30,"crafton graphic company, inc., new york",31,0.005859005859005859
31,statni nakladatelstvi (state publishing house),30,0.00567000567000567
32,ryo watanabe,30,0.00567000567000567
33,"styria studio, inc., new york",29,0.005481005481005481
34,"artists ussr, leningrad",28,0.005292005292005292
35,"r. bulla studio, rome",28,0.005292005292005292
36,"dutrou, paris and atelier crommelynck, paris",28,0.005292005292005292
37,m. fleurot,27,0.005103005103005103
38,"the baynard press, london",26,0.004914004914004914
39,"otto von holten kunst- und buchdruckerei, berlin",26,0.004914004914004914
40,"limestone press, san francisco",25,0.004725004725004725
41,"jacquemin, paris",22,0.004158004158004158
42,"engelmann imprimeur-lithographe, paris",22,0.004158004158004158
43,"frazier-soye, paris, richard, paris",21,0.003969003969003969
44,bauhausdruck,21,0.003969003969003969
45,"crommelynck, paris",21,0.003969003969003969
46,"tanneur, paris",21,0.003969003969003969
47,"f. a. lattmann, goslar",20,0.00378000378000378
48,"khoudozhnik rsfsr, (artists ussr), leningrad",20,0.00378000378000378
49,william katz,19,0.003591003591003591
50,british war office,19,0.003591003591003591
51,"alliance graphique, paris",18,0.003402003402003402
52,"tamarind lithography workshop, inc., los angeles",18,0.003402003402003402
53,"edmond vairel and draeger frères, paris",18,0.003402003402003402
54,"m. müller und sohn, munich",18,0.003402003402003402
55,"andersen-lamb, brooklyn, new york",18,0.003402003402003402
56,"atelier 17, paris",18,0.003402003402003402
57,"leonard baskin, northampton",18,0.003402003402003402
58,"u.s. government printing office, washington, d.c.",17,0.003213003213003213
59,"the gehenna press, northampton",16,0.003024003024003024
60,"buchdruckerei vsk, basel",16,0.003024003024003024
61,"toppan printing co., ltd.",16,0.003024003024003024
62,gerald laing,15,0.002835002835002835
63,stadsdrukkerij van amsterdam,15,0.002835002835002835
64,"arts-litho, paris",15,0.002835002835002835
65,"the gehenna press, worcester",15,0.002835002835002835
66,"morisawa & co. ltd., japan",14,0.002646002646002646
67,ettore falchi,14,0.002646002646002646
68,"benrido co. ltd., japan",14,0.002646002646002646
69,"tiber press, new york",14,0.002646002646002646
70,"c.h. welch, london",14,0.002646002646002646
71,"julius heuberger, zurich",13,0.002457002457002457
72,"la main d'or, paris",13,0.002457002457002457
73,"talleres gráficos de la nación, mexico city",13,0.002457002457002457
74,"imp. chaix (ateliers chéret), paris",13,0.002457002457002457
75,"prawat laucharoen, new york",13,0.002457002457002457
76,"druckerei für bibliophilen, berlin",13,0.002457002457002457
77,"probably pan-presse, berlin",13,0.002457002457002457
78,"dupont-visat, paris",12,0.002268002268002268
79,hermann birkholz,12,0.002268002268002268
80,"atelier tanguy garric, paris",12,0.002268002268002268
81,"itek corporation, new york",11,0.002079002079002079
82,"la société des imprimeries l'hoir, paris",11,0.002079002079002079
83,"kanthos press, los angeles",11,0.002079002079002079
84,louis fort,11,0.002079002079002079
85,"dorland, berlin",11,0.002079002079002079
86,"danel, lille",11,0.002079002079002079
87,"j. c. müller a.g., zürich",11,0.002079002079002079
88,"eugène delâtre, paris",11,0.002079002079002079
89,"j.e. wolfensberger, zurich",11,0.002079002079002079
90,"igal roodenko, new york",11,0.002079002079002079
