,title,count,frequency
0,Vase,92,0.007399662189334835
1,Bowl,77,0.006193195528030242
2,Untitled fromFound Masks 1975–1978,37,0.002975951097884662
3,Fabric Sample,29,0.002332502211855546
4,Untitled fromTwenty-Four Personal Attitudes Related to Closed Spaces,28,0.0022520711011019064
5,"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",24,0.0019303466580873482
6,Armchair,23,0.0018499155473337087
7,Plate fromLe Surréalisme en 1947,21,0.0016890533258264297
8,Ashtray,21,0.0016890533258264297
9,Side Chair,21,0.0016890533258264297
10,Pitcher,20,0.0016086222150727902
11,Plate fromLa Vittoria(Victory),19,0.0015281911043191507
12,Bud Vase,19,0.0015281911043191507
13,Plate,17,0.0013673288828118717
14,Platter,16,0.0012868977720582322
15,Tumbler,16,0.0012868977720582322
16,"Fagus-Werk, Karl Benscheidt",14,0.0011260355505509532
17,The Paris Review,14,0.0011260355505509532
18,Table Lamp,13,0.0010456044397973137
19,Flatware,13,0.0010456044397973137
20,Dish,13,0.0010456044397973137
21,Object,12,0.0009651733290436741
22,Drapery Material,12,0.0009651733290436741
23,Upholstery Material,12,0.0009651733290436741
24,Furnishing Fabric,12,0.0009651733290436741
25,Wall-Covering Material,12,0.0009651733290436741
26,Paris Review,12,0.0009651733290436741
27,Plate (supplementary suite) fromManifeste Mystique(Mystic Manifesto),11,0.0008847422182900346
28,"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",11,0.0008847422182900346
29,Tumblers,10,0.0008043111075363951
30,Desk Lamp,10,0.0008043111075363951
31,Coffee Table,10,0.0008043111075363951
32,Untitled,9,0.0007238799967827556
33,"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",9,0.0007238799967827556
34,Tray,9,0.0007238799967827556
35,Candlestick,9,0.0007238799967827556
36,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, Prayer Hall: plan sketch",9,0.0007238799967827556
37,"Roth-Händle, Naturrien",9,0.0007238799967827556
38,Piccolo Teatro di Milano,8,0.0006434488860291161
39,Museum for a Small City project (Interior perspective),8,0.0006434488860291161
40,Chaise Longue,8,0.0006434488860291161
41,Floor Lamp,8,0.0006434488860291161
42,Bottle Opener,8,0.0006434488860291161
43,Children’s Books,8,0.0006434488860291161
44,Celebration! 200 Years USA/50 Years CCA,8,0.0006434488860291161
45,Cocktail Shaker,8,0.0006434488860291161
46,Lounge Chair,7,0.0005630177752754766
47,Plates,7,0.0005630177752754766
48,Untitled fromSelf-Portrait in a Convex Mirror,7,0.0005630177752754766
49,Olivetti Lettera 22,7,0.0005630177752754766
50,Self Portrait(Selbstbildnis) fromGraphics of Capitalist Realism(Grafik des Kapitalistischen Realismus),7,0.0005630177752754766
51,Charm Tumblers,7,0.0005630177752754766
52,Ring,7,0.0005630177752754766
53,"First Unitarian Church and School, Rochester, New York, Final version: elevation",7,0.0005630177752754766
54,Frontispiece fromLa Rose séparée,7,0.0005630177752754766
55,Poster Celebrating 10th Anniversary of “Tategumi Yokogumi” Magazine,7,0.0005630177752754766
56,"Endless House Project, Interior perspective",7,0.0005630177752754766
57,25 plates from Untitled (Xerox Book),7,0.0005630177752754766
58,Necklace,7,0.0005630177752754766
59,Fêtes de Paris,6,0.00048258666452183704
60,"Die neue Linie, September 1929",6,0.00048258666452183704
61,Liqueur Glass,6,0.00048258666452183704
62,First of May – Day of the International Proletarian Solidarity,6,0.00048258666452183704
63,Upholstery fabric for tubular steel chairs,6,0.00048258666452183704
64,Knife and Fork,6,0.00048258666452183704
65,Table,6,0.00048258666452183704
66,Design for Wall Hanging,6,0.00048258666452183704
67,Salt and Pepper Shakers,6,0.00048258666452183704
68,Curtain Material,6,0.00048258666452183704
69,"Orange Sound, project",6,0.00048258666452183704
70,Stacking Side Chair,6,0.00048258666452183704
71,Chair,6,0.00048258666452183704
72,"House for Venice Biennale project, Venice, Italy (Aerial view)",6,0.00048258666452183704
73,Greeting,6,0.00048258666452183704
74,Balzacfrombalzacs en bas de casse et picassos,6,0.00048258666452183704
75,"Page from “Deutsche Kunst und Dekoration,” 1914",6,0.00048258666452183704
76,Telex Underpillow Speaker,6,0.00048258666452183704
77,Tailpiece (page 18) fromPasiphaé: Chant de Minos (Les Crétois),6,0.00048258666452183704
78,Cigarette Box,6,0.00048258666452183704
79,"The Playing Cards(Les Cartes à jouer), plate XXIV (supplementary suite) fromLes Âmes mortes",6,0.00048258666452183704
80,Evaporating Dish,6,0.00048258666452183704
81,Postcard for the All Union Spartakiada Sporting Event,6,0.00048258666452183704
82,Filterjet Fan,5,0.00040215555376819754
83,Igra v adu(A Game in Hell),5,0.00040215555376819754
84,"IIT Alumni Memorial Hall (Navy Building), Chicago, IL, (Vertical sections through wall at entrance and horizontal section through outside wall)",5,0.00040215555376819754
85,Ode à Ma Mère,5,0.00040215555376819754
86,Drawing fromL’Évangile(The Gospel),5,0.00040215555376819754
87,"The Life and Opinions of Tristram Shandy, Gentleman",5,0.00040215555376819754
88,"Pious Helene (Die fromme Helene)(plate, folio 35) from the periodicalDer Bildermann, vol. 1, no. 17 (Dec 1916)",5,0.00040215555376819754
89,Schiess-Dusseldorf,5,0.00040215555376819754
90,Glasses,5,0.00040215555376819754
91,Tailpiece (page 50) fromCirque(Circus),5,0.00040215555376819754
92,"Villa Snellman, Djursholm, Sweden, Elevation of garden facade, sketch",5,0.00040215555376819754
93,Goblet,5,0.00040215555376819754
94,Mythologie,5,0.00040215555376819754
95,Schulenburg & Bessler,5,0.00040215555376819754
96,Reforma paddestoelenpastei,5,0.00040215555376819754
97,Headpiece (page 143) fromLes Chants de Maldoror,5,0.00040215555376819754
98,"Mavignier, Plakat, Brasilianisches Konsulat",5,0.00040215555376819754
99,Ice Bucket,5,0.00040215555376819754
100,(Untitled),5,0.00040215555376819754
101,"Indian Institute of Management, Ahmedabad, India, Plan and elevation sketches of classroom building and dormitory",5,0.00040215555376819754
102,In-text plate (page 173) fromDaphnis et Chloé,5,0.00040215555376819754
103,Fourteen Etchings 2,5,0.00040215555376819754
104,Flint Spatula,5,0.00040215555376819754
105,Poems,5,0.00040215555376819754
106,Nesting Tables,5,0.00040215555376819754
107,Casement Cloth,5,0.00040215555376819754
108,"Plate (folio 4) fromMörder, Hoffnung der Frauen (Murderer, Hope of Women)",5,0.00040215555376819754
109,"Plate (folio 31) fromSix Geometric Figures and All Their Combinations, Volume I",5,0.00040215555376819754
110,Plate (page 85) fromMeidosems,5,0.00040215555376819754
111,Musica Viva,5,0.00040215555376819754
112,Automobile Upholstery Material,5,0.00040215555376819754
113,Mirskontsa(Worldbackwards),5,0.00040215555376819754
114,Cheese Slicer,5,0.00040215555376819754
115,"Novyi LEF. Zhurnal levogo fronta iskusstv, 3",5,0.00040215555376819754
116,Brno Chair,5,0.00040215555376819754
117,Integra Floor Lamp,5,0.00040215555376819754
118,Reymond ateliers de photogravure,5,0.00040215555376819754
119,"I’m Looking for You – Fever, Malaria – Protect Yourself Against Mosquitoes",5,0.00040215555376819754
120,Plate (page 47) fromRythmes-Couleurs,5,0.00040215555376819754
121,Kinesias and His Family(Cinésias et sa famille) fromLysistrata,5,0.00040215555376819754
122,In-text plate (folio 9) from21 Etchings and Poems,5,0.00040215555376819754
123,Das Holz als Bau Stoff,5,0.00040215555376819754
124,Headpiece (page 197) fromThe Fables of Aesop,5,0.00040215555376819754
125,"Tredicesima, Triennale di Milano",5,0.00040215555376819754
126,Chaise Longue (model 715RO),5,0.00040215555376819754
127,"Afat(Misfortune, or a Very Beautiful Woman) (Malheur, ou Femme très belle) fromAfat",5,0.00040215555376819754
128,Pitcher 3750 L,5,0.00040215555376819754
129,Traktat o sploshnom neprilichii(Treatise on Total Obscenity),5,0.00040215555376819754
130,In-text plate (page 197) fromDaphnis et Chloé,5,0.00040215555376819754
131,Chess Set,5,0.00040215555376819754
132,Bowl No. 25,5,0.00040215555376819754
133,New Music Media,5,0.00040215555376819754
134,"Tokyo International Forum, Tokyo, Japan (Exterior perspective)",5,0.00040215555376819754
135,Samenhaus Kahl,5,0.00040215555376819754
136,Tony Smith,5,0.00040215555376819754
137,Picture Frame,5,0.00040215555376819754
138,"National Commercial Bank, Jeddah, Saudi Arabia (Four plans, preliminary study)",5,0.00040215555376819754
139,Serving Bowl,5,0.00040215555376819754
140,Staatliches Bauhaus Weimar,5,0.00040215555376819754
141,In-text plate (page 32) fromParler seul(Speaking Alone),5,0.00040215555376819754
142,"Endless House Project, Plan",5,0.00040215555376819754
143,Plate (folio 10) fromHommage à Roger Lacourière,5,0.00040215555376819754
144,Magie: Art et Politique,5,0.00040215555376819754
145,"Graphisches Kabinet Saarbrücken, Neue Gruppe Saar Bildgraphik",5,0.00040215555376819754
146,"Neues Bauen (New Building) (Poster for Deutsche Werkbund Exhibition at the Kunstgewerbe Museum, Zürich)",5,0.00040215555376819754
147,Tablecloth,5,0.00040215555376819754
148,Wall Hanging (Woven in 1964 under Albers’ supervision from the original design),5,0.00040215555376819754
149,Injecta A.G. Spritzgusswerke und Apparatefabrik,5,0.00040215555376819754
150,Picasso et le théâtre,5,0.00040215555376819754
151,"Signs of the Times VI: God Shall Bestow Victory on Everyone (Symbole der Zeit VI: Jedem soll er den Sieg verliehen)(plate, folio 17 verso) from the periodicalDer Bildermann, vol. 1, no. 8 (Jul 1916)",5,0.00040215555376819754
152,"Plate (folio 56) fromSix Geometric Figures and All Their Combinations, Volume I",5,0.00040215555376819754
153,"Novyi LEF. Zhurnal levogo fronta iskusstv, 6",5,0.00040215555376819754
154,"Parc de la Villette Project, Paris, France (Plan)",4,0.00032172444301455805
155,Ein neuer Totentanz (A New Dance of Death),4,0.00032172444301455805
156,"Kunsthalle Basel, Maurice Esteve, Malerie, Berto Lardera, Skulptur, 10. Juni bis 16. Juli",4,0.00032172444301455805
157,Zheleznyi frant(The Iron Dandy),4,0.00032172444301455805
158,Side Chairs,4,0.00032172444301455805
159,BYO Insulated Wine Chiller,4,0.00032172444301455805
160,"Henryk Stazewski, Kompozycja",4,0.00032172444301455805
161,Cesca Side Chair (model B32),4,0.00032172444301455805
162,Kilta Storage Container,4,0.00032172444301455805
163,"Hallo, U Spreekt",4,0.00032172444301455805
164,"Aino und Alvar Aalto (Poster for an exhibition at the Kunstgewerbemuseum, Zürich)",4,0.00032172444301455805
165,Forest,4,0.00032172444301455805
166,"SA. Sovremennaia Arkhitektura(CA. Contemporary Architecture), no. 4",4,0.00032172444301455805
167,"The Weary One (Der Müde)(plate, folio 9) from the periodicalDer Bildermann, vol. 1, no. 4 (May 1916)",4,0.00032172444301455805
168,Vases,4,0.00032172444301455805
169,"Page 97 from Merz 11, Typoreklame",4,0.00032172444301455805
170,Tailpiece (page 67) fromPoésies(Poems),4,0.00032172444301455805
171,Fagus-Werk Karl Benscheidt,4,0.00032172444301455805
172,Plate (facing page 102) fromAllo! Paris!,4,0.00032172444301455805
173,The “Kodowa” Refrigerator Company letterhead,4,0.00032172444301455805
174,Wine Glass,4,0.00032172444301455805
175,Sidney Janis,4,0.00032172444301455805
176,"Duplicate of plate from page 21 (supplementary suite, plate 2) fromDer Philosoph(The Philosopher)",4,0.00032172444301455805
177,Laes Politiken,4,0.00032172444301455805
178,"Peter Gee, Esq. – Not Here",4,0.00032172444301455805
179,Some Day I Really Will Try...,4,0.00032172444301455805
180,Fakt(Fact),4,0.00032172444301455805
181,"Portrait of Balzac VI(Portrait de Balzac VI) (plate, folio 13) frombalzacs en bas de casse et picassos sans majuscule",4,0.00032172444301455805
182,"Frontispiece (folio 2) fromCinéma calendrier du coeur abstrait, maisons(Cinema Calendar of the Abstract Heart, Houses)",4,0.00032172444301455805
183,Tailpiece (page 224) fromThe Fables of Aesop,4,0.00032172444301455805
184,Entry Panel for MoMA Competition for Organic Design in Home Furnishings,4,0.00032172444301455805
185,Plate (folio 6) fromFraternity,4,0.00032172444301455805
186,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, National Assembly Building: section sketches",4,0.00032172444301455805
187,Desk,4,0.00032172444301455805
188,Covered Serving Dish,4,0.00032172444301455805
189,"Spandrel from Gage Building, Chicago, Illinois",4,0.00032172444301455805
190,Daphnien,4,0.00032172444301455805
191,Le Balcon,4,0.00032172444301455805
192,Herman Miller Summer Picnic August 16,4,0.00032172444301455805
193,Segodnia(Today),4,0.00032172444301455805
194,Follow MefromWitness,4,0.00032172444301455805
195,"Joan Miró, 13 lithographies – Maeght-Editeur, Paris",4,0.00032172444301455805
196,Woven Fabric Sample,4,0.00032172444301455805
197,Four Teyashim (Four Billygoats) by Ben Zion Raskin,4,0.00032172444301455805
198,"Accord Between the Spartan and Athenian Warriors: The Peace(Accord entre les Athéniens et les Spartiates, la paix) fromLysistrata",4,0.00032172444301455805
199,"Untitled (plate, page 7) from the periodicalMünchner Blätter für Dichtung und Graphik, vol. 1, no. 1 (January 1919)",4,0.00032172444301455805
200,El Frente Popular de Madrid Al Frente Popular del Mundo – Homenaje a Las Brigadas Internacionales,4,0.00032172444301455805
201,"Figure in a Garden(plate, page 18) fromPoems",4,0.00032172444301455805
202,Scribner’s for April: St. Louis Exposition,4,0.00032172444301455805
203,"Gregg Bendian, Percussie",4,0.00032172444301455805
204,Head,4,0.00032172444301455805
205,Silvia Zangger und Dr. Joachim Schumacher,4,0.00032172444301455805
206,"Nikola Putnik (Poster for Karate Club Tempo, Zagreb)",4,0.00032172444301455805
207,Canister with Cover,4,0.00032172444301455805
208,"Vignette next to “White Foam” (Vignette bei “Weisser Schaum”) (headpiece, folio 42, verso) fromKlänge (Sounds)",4,0.00032172444301455805
209,In-text plate (page 108) fromLe Chant des morts,4,0.00032172444301455805
210,Lidantiu Faram (Ledentu le Phare),4,0.00032172444301455805
211,Tabarin,4,0.00032172444301455805
212,Florence Ware Service,4,0.00032172444301455805
213,In-text plate (page 55) fromDaphnis et Chloé,4,0.00032172444301455805
214,Plate (facing page 72) fromNohow On,4,0.00032172444301455805
215,"The Outcasts (Die Verstoßenen)(in-text plate, page 21) fromDer Kopf (The Head)",4,0.00032172444301455805
216,Bottle Vase,4,0.00032172444301455805
217,Fabric (no. 13305),4,0.00032172444301455805
218,Sleeping Woman (Schlafende Frau)(title page) from _Die träumenden Knaben (The Dreaming Boys)_,4,0.00032172444301455805
219,Upholstery Fabric Sample,4,0.00032172444301455805
220,Peanuts Dish,4,0.00032172444301455805
221,"Plate (folio 22) fromSix Geometric Figures and All Their Combinations, Volume II",4,0.00032172444301455805
222,Three-Legged Side Chair,4,0.00032172444301455805
223,Petit solfège illustré(Little Illustrated Solfège),4,0.00032172444301455805
224,Container,4,0.00032172444301455805
225,Mushroom Book,4,0.00032172444301455805
226,Wohnung und Werkraum,4,0.00032172444301455805
227,Crinkle Tumbler CR-S5,4,0.00032172444301455805
228,Headpiece (folio 4) fromRecollections of Childhood,4,0.00032172444301455805
229,Gerald MalangafromFace of the Poet,4,0.00032172444301455805
230,Stool,4,0.00032172444301455805
231,"Parc de la Villette Project, Paris, France (Car Park)",4,0.00032172444301455805
232,Double page in-text plate (pages 46 and 47) fromLe Chant des morts,4,0.00032172444301455805
233,Prince Aha Stool,4,0.00032172444301455805
234,Plate (folio 12) fromHommage à Roger Lacourière,4,0.00032172444301455805
235,Tabu,4,0.00032172444301455805
236,Vase with Base,4,0.00032172444301455805
237,Printed Textile,4,0.00032172444301455805
238,There Is No Death for the Songs,4,0.00032172444301455805
239,"Cité de Refuge, Paris, France",4,0.00032172444301455805
240,"Deutsches Volk, deutsche Arbeit, Ausstellungsgelände Kaiserdamm, Ausstellung Berlin 21.04.-03.06.1934",4,0.00032172444301455805
241,Soft Light Side Chair,4,0.00032172444301455805
242,"100 Jahre Eisenbeton, Kunstgewerbemuseum Zürich",4,0.00032172444301455805
243,"American System-Built Houses for The Richards Company, project, Milwaukee, Wisconsin, Perspective of model A243",4,0.00032172444301455805
244,Telegraph Less,4,0.00032172444301455805
245,"CompositionorComposition in Three Colors(duplicate of plate from page 91, supplementary suite, plate 3) fromDans l’Atelier de Picasso",4,0.00032172444301455805
246,Plate (folio 17) fromSketchbook 1982,4,0.00032172444301455805
247,Ovalis Vase,4,0.00032172444301455805
248,"Plate (folio 58) fromSix Geometric Figures and All Their Combinations, Volume II",4,0.00032172444301455805
249,Plate (folio 19 verso) fromSmoke,4,0.00032172444301455805
250,Canto Vfrom18 Cantos,4,0.00032172444301455805
251,"Lewis Thomas Laboratory for Molecular Biology, Princeton University, Princeton, New Jersey, Preliminary study of entrance and elevation",4,0.00032172444301455805
252,"Study for Fruit Bowl (with Apple), project (Aerial perspective)",4,0.00032172444301455805
253,"Chalfont St. Giles, at London’s Service (Poster for London Underground)",4,0.00032172444301455805
254,B.K.F. Chair,4,0.00032172444301455805
255,"Special Show of Roses, Regent’s Park, Queen Mary’s Garden (Poster for London Transport)",4,0.00032172444301455805
256,Plate (page 95) fromMinuits pour géants: Volume II fromL’Antitête,4,0.00032172444301455805
257,"Gated Wall, Perspective and elevation",4,0.00032172444301455805
258,Bottle,4,0.00032172444301455805
259,Covered Container,4,0.00032172444301455805
260,Royalton Bar Stool,4,0.00032172444301455805
261,Beams,4,0.00032172444301455805
262,Plate VI fromThe Ring of Dawn Suite(Suite la bague d’aurore),4,0.00032172444301455805
263,Parkett no. 34,4,0.00032172444301455805
264,Tailpiece (page 18) fromThe Fables of Aesop,4,0.00032172444301455805
265,"63 cancelled copperplates forSix Geometric Figures and All Their Combinations,Volume II",4,0.00032172444301455805
266,"Novyi LEF. Zhurnal levogo fronta iskusstv, 2",4,0.00032172444301455805
267,Bowls,4,0.00032172444301455805
268,"Squares, Blobs, Speckles",4,0.00032172444301455805
269,In-text plate (page 64) fromL’Évangile(The Gospel),4,0.00032172444301455805
270,Boule Teapot,4,0.00032172444301455805
271,Poster For National Bunraku Theatre,4,0.00032172444301455805
272,"Torso of a Man(plate, facing page 80) from the illustrated bookChronique des Temps Héroïques",4,0.00032172444301455805
273,Playback,4,0.00032172444301455805
