listings,title,price,currency,url
Prince,His Majesty's Pop Life / The Purple Mix Club,99999.0,JPY,https://www.discogs.com/sell/item/460566847
Sex Pistols,Silly Thing,50000.0,JPY,https://www.discogs.com/sell/item/653348326
National Health,National Health,39800.0,JPY,https://www.discogs.com/sell/item/506734635
Testpattern,Après-Midi,39800.0,JPY,https://www.discogs.com/sell/item/481948019
The Dooleys,The Pop Fantasia,39000.0,JPY,https://www.discogs.com/sell/item/450498887
Nazareth (2),The Fool Circle,35921.5,JPY,https://www.discogs.com/sell/item/1015164561
Depeche Mode = デペッシュ・モード*,ピープル・アー・ピープル = People Are People,32000.0,JPY,https://www.discogs.com/sell/item/722281289
Yes,Yesshows,30548.3,JPY,https://www.discogs.com/sell/item/1015164285
Nazareth (2),2XS,30000.0,JPY,https://www.discogs.com/sell/item/1015164654
George Harrison,Cloud Nine,29800.0,JPY,https://www.discogs.com/sell/item/563086966
Small Faces,Ogdens' Nut Gone Flake,29800.0,JPY,https://www.discogs.com/sell/item/506949309
Iron Maiden,Seventh Son Of A Seventh Son,29000.0,JPY,https://www.discogs.com/sell/item/580100807
Dennis DeYoung,Back To The World,27574.8,JPY,https://www.discogs.com/sell/item/506197670
Various,Summer Campaign '85,27779.5,JPY,https://www.discogs.com/sell/item/493092386
Roxy Music,Total Recall: A History 1972-1982,26800.0,JPY,https://www.discogs.com/sell/item/450480616
Raf (5),Change Your Mind,26800.0,JPY,https://www.discogs.com/sell/item/507477542
Area (6),Tic & Tac,25000.0,JPY,https://www.discogs.com/sell/item/506949536
Peter Cetera,Peter Cetera,25000.0,JPY,https://www.discogs.com/sell/item/507477005
Stars On 45,Stars On 45 Longplay Album (Volume II),24000.0,JPY,https://www.discogs.com/sell/item/515637468
Newton Family*,Dandelion,23415.0,JPY,https://www.discogs.com/sell/item/498857966
Pet Shop Boys,Introspective,22500.0,JPY,https://www.discogs.com/sell/item/506196308
Ted Nugent,If You Can't Lick 'Em... Lick 'Em,22000.0,JPY,https://www.discogs.com/sell/item/781595564
Chris Farlowe,Out Of Time - Paint It Black,21600.0,JPY,https://www.discogs.com/sell/item/506707252
Sky (4),Sky Five Live,21542.0,JPY,https://www.discogs.com/sell/item/505610037
Liza Minnelli,Live At The Olympia In Paris,20685.6,JPY,https://www.discogs.com/sell/item/463779123
Liza Minnelli,Live At The Olympia In Paris,20685.6,JPY,https://www.discogs.com/sell/item/463778739
Laid Back,Play It Straight,19800.0,JPY,https://www.discogs.com/sell/item/452882830
Robert Palmer,Clues,20000.0,JPY,https://www.discogs.com/sell/item/511844623
Lakeside,Your Wish Is My Command,19800.0,JPY,https://www.discogs.com/sell/item/452882921
Kim Wilde,Select,19800.0,JPY,https://www.discogs.com/sell/item/909374120
Tower Of Power,Power,19800.0,JPY,https://www.discogs.com/sell/item/526250743
Red Rockers,Schizophrenic Circus,19800.0,JPY,https://www.discogs.com/sell/item/507477670
Various,That's Eurobeat Vol. 6,19800.0,JPY,https://www.discogs.com/sell/item/563087282
Richard Lloyd,Alchemy,19800.0,JPY,https://www.discogs.com/sell/item/507477595
Various,Brand New Wave,20000.0,JPY,https://www.discogs.com/sell/item/493092256
Krokus,Heart Attack,19800.0,JPY,https://www.discogs.com/sell/item/451799826
Matia Bazar,Aristocratica,19800.0,JPY,https://www.discogs.com/sell/item/1066187611
Antonio Carlos Jobim,Wave,19800.0,JPY,https://www.discogs.com/sell/item/506158478
Scorpions,Savage Amusement,20000.0,JPY,https://www.discogs.com/sell/item/802698119
Rick Wakeman,Lisztomania,19800.0,JPY,https://www.discogs.com/sell/item/527755529
Ella Fitzgerald,Ella Abraça Jobim - Ella Fitzgerald Sings The Antonio Carlos Jobim Song Book,19000.0,JPY,https://www.discogs.com/sell/item/751794007
Tesla,Mechanical Resonance,19227.8,JPY,https://www.discogs.com/sell/item/506195759
Britney Spears,Someday (I Will Understand),18880.0,JPY,https://www.discogs.com/sell/item/578691996
