listings,title,price,currency,url
Bruce Springsteen,"Greetings From Asbury Park, N.J.",4000.0,USD,https://www.discogs.com/sell/item/991481768
Johann Sebastian Bach - Janos Starker,Suites For Unaccompanied Cello Complete,999.99,USD,https://www.discogs.com/sell/item/1021882699
Bob Dylan,50th Anniversary Collection 1969,799.99,USD,https://www.discogs.com/sell/item/1046991888
Yo-Yo Ma,30 Years Outside The Box,699.99,USD,https://www.discogs.com/sell/item/1055363317
"Tchaikovsky*, Leningrad Philharmonic Orchestra, Evgeny Mravinsky",Symphonies Nos. 4 · 5 · 6,599.99,USD,https://www.discogs.com/sell/item/952546381
"Jim Dine, Rory McEwen","Songs ,Poems, Prints",499.99,USD,https://www.discogs.com/sell/item/910721227
Glenn Gould,Glenn Gould Remastered - The Complete Columbia Album Collection,499.99,USD,https://www.discogs.com/sell/item/1034525213
Miles Davis,The Complete Columbia Album Collection,450.0,USD,https://www.discogs.com/sell/item/931658510
Brian Eno,Music For Installations,399.99,USD,https://www.discogs.com/sell/item/904286914
Joseph LoDuca,Evil Dead (Original Motion Picture Soundtrack),399.99,USD,https://www.discogs.com/sell/item/1032159776
U2,Achtung Baby,399.99,USD,https://www.discogs.com/sell/item/846317049
The Legendary Pink Dots,Caciocavallo Reissue Collection,375.0,USD,https://www.discogs.com/sell/item/910286808
Willie & The Mighty Magnificents,Very Soulful,350.99,USD,https://www.discogs.com/sell/item/919930658
The Monkees,"The Birds, The Bees & The Monkees",349.99,USD,https://www.discogs.com/sell/item/1038336789
"Margarita Madrigal, H. Andrés Morales",Madrigal's Magic Key To Spanish  #1,349.99,USD,https://www.discogs.com/sell/item/985531960
"Margarita Madrigal, H. Andrés Morales",Madrigal's Magic Key To Spanish  #2,349.99,USD,https://www.discogs.com/sell/item/985532587
The Beatles,The Beatles Collection,324.99,USD,https://www.discogs.com/sell/item/1060353253
Johnny Cash,The Legend,299.99,USD,https://www.discogs.com/sell/item/1046954555
Aretha Franklin,Take A Look: Aretha Franklin Complete On Columbia,299.99,USD,https://www.discogs.com/sell/item/931510035
Various,Living Stereo 60 CD Collection Vol. 2,299.99,USD,https://www.discogs.com/sell/item/1055361755
Pierre Boulez • Various,The Complete Columbia Album Collection,299.99,USD,https://www.discogs.com/sell/item/928245845
Various,Living Stereo 60 CD Collection,299.99,USD,https://www.discogs.com/sell/item/1055358295
Glenn Gould,The Complete Bach Collection,299.99,USD,https://www.discogs.com/sell/item/928244888
The Beatles,The Beatles,249.99,USD,https://www.discogs.com/sell/item/1072188798
Cheap Trick,The Complete Epic Albums Collection,249.99,USD,https://www.discogs.com/sell/item/1016963478
Vladimir Horowitz,The Video Collection,249.99,USD,https://www.discogs.com/sell/item/980177114
Gray (2),Shades Of...,249.99,USD,https://www.discogs.com/sell/item/1039863315
Nurse With Wound,Flawed Existence,249.99,USD,https://www.discogs.com/sell/item/781519419
Elvis Presley,The Album Collection,229.99,USD,https://www.discogs.com/sell/item/933484101
ABBA,Greatest Hits Vol. 2,225.0,USD,https://www.discogs.com/sell/item/669595812
Various,"... Next Stop Is Vietnam - The War On Record, 1961-2008",224.99,USD,https://www.discogs.com/sell/item/965816920
Uncle Dave Macon,Keep My Skillet Good And Greasy: The Complete Recordings,224.99,USD,https://www.discogs.com/sell/item/973883662
Pearl Jam,Vs. / Vitalogy,210.0,USD,https://www.discogs.com/sell/item/931302142
Envy (2),"Invariable Will, Recurring Ebbs And Flows",200.0,USD,https://www.discogs.com/sell/item/963441308
