listings,title,price,currency,url
The Grateful Dead,Workingman's Dead,1750.0,EUR,https://www.discogs.com/sell/item/1075063324
The Grateful Dead,Workingman's Dead,1750.0,EUR,https://www.discogs.com/sell/item/1075062892
Kluster (3),Zwei-Osterei,1700.0,EUR,https://www.discogs.com/sell/item/1017144003
Jerusalem (4),Jerusalem,1500.0,EUR,https://www.discogs.com/sell/item/1003419227
The Grateful Dead,ダーク・スター = Dark Star,1450.0,EUR,https://www.discogs.com/sell/item/966923186
The Who,The Who Sell Out,1250.0,EUR,https://www.discogs.com/sell/item/1029906756
Tohru Aizawa Quartet,Tachibana Vol. 1,1200.0,EUR,https://www.discogs.com/sell/item/1013652387
MC5,Kick Out The Jams,1200.0,EUR,https://www.discogs.com/sell/item/1067103934
Bengt Nordström,Untitled,1100.0,EUR,https://www.discogs.com/sell/item/1028306900
Iggy And The Stooges*,Raw Power,950.0,EUR,https://www.discogs.com/sell/item/934361373
Pink Floyd,Atom Heart Mother,925.0,EUR,https://www.discogs.com/sell/item/969025257
Akira Ishikawa & Count Buffalos*,Electrum,900.0,EUR,https://www.discogs.com/sell/item/1032212585
Yuya Uchida & The Flowers,Challenge!,800.0,EUR,https://www.discogs.com/sell/item/977024207
The Soft Machine*,The Soft Machine,750.0,EUR,https://www.discogs.com/sell/item/1001712093
"Toshi Ichiyanagi, Michael Ranta, Takehisa Kosugi",Improvisation Sep. 1975,750.0,EUR,https://www.discogs.com/sell/item/1003419117
Steve Lacy,Torments - Solo In Kyoto,750.0,EUR,https://www.discogs.com/sell/item/906499107
Spring (9),American Spring,700.0,EUR,https://www.discogs.com/sell/item/1068710654
Makoto Terashita,Great Harvest,700.0,EUR,https://www.discogs.com/sell/item/994284383
Various,Oz Days Live,675.0,EUR,https://www.discogs.com/sell/item/981396894
MC5,Tonight,600.0,EUR,https://www.discogs.com/sell/item/934371645
The Taj-Mahal Travelers*,"July 15, 1972",600.0,EUR,https://www.discogs.com/sell/item/946959807
Flower Travellin' Band,Make Up,600.0,EUR,https://www.discogs.com/sell/item/1010435388
The Pentangle*,The Pentangle,600.0,EUR,https://www.discogs.com/sell/item/1017155497
The Doors,The Soft Parade,575.0,EUR,https://www.discogs.com/sell/item/1002116937
MC5,Back In The USA,575.0,EUR,https://www.discogs.com/sell/item/1041928711
Pretty Things*,Private Sorrow / Balloon Burning,550.0,EUR,https://www.discogs.com/sell/item/997053373
The Trio,By Contact,550.0,EUR,https://www.discogs.com/sell/item/946967853
The Seeds Featuring Sky Saxon,Pushin' Too Hard,550.0,EUR,https://www.discogs.com/sell/item/1004367700
Steve Lacy Sextet*,The Wire,550.0,EUR,https://www.discogs.com/sell/item/1042369676
Mtume Umoja Ensemble,Alkebu-Lan - Land Of The Blacks (Live At The East),525.0,EUR,https://www.discogs.com/sell/item/1006678209
Tokyo Philharmonic Chorus,合唱音楽の領域　ーその新しい地平ー,500.0,EUR,https://www.discogs.com/sell/item/1005452650
The Rolling Stones,Vol. 3,500.0,EUR,https://www.discogs.com/sell/item/1028309795
マーゴ・グリヤン* = Margo Guryan,サンデー・モーニン (Sunday Morning) / スパンキーとギャング (Spanky & Our Gang),500.0,EUR,https://www.discogs.com/sell/item/1017972558
Jefferson Airplane,Surrealistic Pillow,500.0,EUR,https://www.discogs.com/sell/item/988473208
Masahiko Togashi & Masayuki Takayanagi,Pulsation,500.0,EUR,https://www.discogs.com/sell/item/1001711609
Love,Stand Out / You Are Something,500.0,EUR,https://www.discogs.com/sell/item/967095935
J・A・シーザー*,田園に死す [Den'en Ni Shisu],500.0,EUR,https://www.discogs.com/sell/item/982528059
Dashiell Hedayat,Obsolete,500.0,EUR,https://www.discogs.com/sell/item/1015161829
Television,Venus,475.0,EUR,https://www.discogs.com/sell/item/967096634
Brigitte Bardot,今宵バルドーとともに = Special Brigitte Bardot,475.0,EUR,https://www.discogs.com/sell/item/1004792957
Urabe Masayoshi & Mukai Chie*,Dual Anarchism,460.0,EUR,https://www.discogs.com/sell/item/985584078
Various,Woodstock,450.0,EUR,https://www.discogs.com/sell/item/1003025429
Toru Takemitsu,Seasons / Toward,450.0,EUR,https://www.discogs.com/sell/item/1005461750
François Tusques,Free Jazz,450.0,EUR,https://www.discogs.com/sell/item/900355911
Pari Zangeneh*,آهنگهاى محلى,450.0,EUR,https://www.discogs.com/sell/item/899831268
Amon Düül II,Yeti,425.0,EUR,https://www.discogs.com/sell/item/1019472796
"山田博和*, 吉沢元治* & 高木元輝*",Kozan,425.0,EUR,https://www.discogs.com/sell/item/1052387183
Pete Brown And Piblokto*,Can't Get Off The Planet,425.0,EUR,https://www.discogs.com/sell/item/1032527448
富樫雅彦* • 高木元輝*,Isolation = アイソレイション,425.0,EUR,https://www.discogs.com/sell/item/983150138
Bob Dylan,Blonde On Blonde,400.0,EUR,https://www.discogs.com/sell/item/946786216
The Don Rendell / Ian Carr Quintet,Phase III,400.0,EUR,https://www.discogs.com/sell/item/1018557074
The Animals,Inside-Looking Out,400.0,EUR,https://www.discogs.com/sell/item/1013652585
Daevid Allen & Euterpe (2),Good Morning,400.0,EUR,https://www.discogs.com/sell/item/1035090884
二代目若松若太夫,説経節 石童丸,400.0,EUR,https://www.discogs.com/sell/item/1053201130
Hawkwind,X In Search Of Space,400.0,EUR,https://www.discogs.com/sell/item/968805314
The Rolling Stones = ローリング・ストーンズ*,Their Satanic Majesties Request = サタニック・マジェスティーズ,400.0,EUR,https://www.discogs.com/sell/item/1028309852
Charles Mingus,Mingus Ah Um,400.0,EUR,https://www.discogs.com/sell/item/1062245548
Rudolph Johnson,Spring Rain,400.0,EUR,https://www.discogs.com/sell/item/1072538058
The Electric Flag,The Trip: Original Motion Picture Soundtrack ,400.0,EUR,https://www.discogs.com/sell/item/989394042
Country Joe And The Fish,Rock And Soul Music,400.0,EUR,https://www.discogs.com/sell/item/967094651
Various,For Example - Workshop Freie Musik 1969 - 1978,400.0,EUR,https://www.discogs.com/sell/item/917672848
Masahiko Satoh Trio*,Transformation '69/'71,400.0,EUR,https://www.discogs.com/sell/item/900840205
J. A. Seazer,さらば箱舟 Farewell To The Ark,400.0,EUR,https://www.discogs.com/sell/item/982793396
The Who,無法の世界,400.0,EUR,https://www.discogs.com/sell/item/946892998
Dead Boys*,Young Loud And Snotty,400.0,EUR,https://www.discogs.com/sell/item/1002116260
Deep Purple,Shades of Deep Purple,375.0,EUR,https://www.discogs.com/sell/item/910903104
The Seeds,Future,375.0,EUR,https://www.discogs.com/sell/item/979333840
Bob Dylan,Bob Dylan/Vol.4,350.0,EUR,https://www.discogs.com/sell/item/946786256
Lou Reed,How Do You Think It Feels,350.0,EUR,https://www.discogs.com/sell/item/1060696660
Chris Spedding,Spedding The Guitarist,350.0,EUR,https://www.discogs.com/sell/item/1001711949
