listings,title,price,currency,url
Masaru Imada Trio +2*,Green Caterpillar,350.0,GBP,https://www.discogs.com/sell/item/1066469032
Claude Rodap - Fregate Orchestra,Syn-Ka,300.0,GBP,https://www.discogs.com/sell/item/993219215
Mariya Takeuchi,Plastic Love,225.0,GBP,https://www.discogs.com/sell/item/1046129347
Tomoko Aran,Fuyü-Kükan = 浮遊空間,195.0,GBP,https://www.discogs.com/sell/item/988255516
Yasuaki Shimizu,Subliminal,175.0,GBP,https://www.discogs.com/sell/item/988390969
Aphrodite's Child,666,150.0,GBP,https://www.discogs.com/sell/item/990440876
Kyoko Furuya (2),冷たい水,145.0,GBP,https://www.discogs.com/sell/item/1041708064
Tabo's Project,Eyes Of A Child,140.0,GBP,https://www.discogs.com/sell/item/1057078280
Far East Family Band,Parallel World,125.0,GBP,https://www.discogs.com/sell/item/1066663862
難波弘之*,Who Done It?,125.0,GBP,https://www.discogs.com/sell/item/1013278060
Chakra (8),さてこそ,125.0,GBP,https://www.discogs.com/sell/item/957091331
"Keiko ""Myrah"" Tohyama",What Can I Do?,125.0,GBP,https://www.discogs.com/sell/item/768076499
Haruomi Hosono,Paradise View,125.0,GBP,https://www.discogs.com/sell/item/1040714530
Armenta & Majik,I Wanna Be With You ,125.0,GBP,https://www.discogs.com/sell/item/1038654208
Fumio Itabashi,Nature,125.0,GBP,https://www.discogs.com/sell/item/990798914
AD (6),Conspiracy,125.0,GBP,https://www.discogs.com/sell/item/777877708
Aunt Sally (2),Aunt Sally,125.0,GBP,https://www.discogs.com/sell/item/1041708396
当山ひとみ*,Sexy Robot,120.0,GBP,https://www.discogs.com/sell/item/988264739
Taeko Ohnuki,Mignonne,120.0,GBP,https://www.discogs.com/sell/item/1066514889
The Apryl Fool*,Apryl Fool,110.0,GBP,https://www.discogs.com/sell/item/990806191
Aragon (3),Aragon,110.0,GBP,https://www.discogs.com/sell/item/990808839
Yoshino Fujimal*,Yoshino Fujimal,100.0,GBP,https://www.discogs.com/sell/item/988293640
原久美子*,熱風,100.0,GBP,https://www.discogs.com/sell/item/990785452
Air (10),Air,100.0,GBP,https://www.discogs.com/sell/item/973199436
Hiroshi - Satoh*,This Boy,100.0,GBP,https://www.discogs.com/sell/item/1045940049
Haruomi Hosono,Philharmony,100.0,GBP,https://www.discogs.com/sell/item/1041706516
Funky Bureau,Boogie Train,100.0,GBP,https://www.discogs.com/sell/item/851261309
The Beatles,The Beatles,95.0,GBP,https://www.discogs.com/sell/item/1061568855
Samuel Jonathan Johnson,My Music,90.0,GBP,https://www.discogs.com/sell/item/993253818
Harry Hosono* And The Yellow Magic Band,Paraiso,90.0,GBP,https://www.discogs.com/sell/item/957084724
Yuji Toriyama,Transfusion,90.0,GBP,https://www.discogs.com/sell/item/731796217
Throbbing Gristle,20 Jazz Funk Greats,89.5,GBP,https://www.discogs.com/sell/item/1060564059
Eric Lou Root,Don't Worry,85.0,GBP,https://www.discogs.com/sell/item/812775113
David Bowie,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,80.0,GBP,https://www.discogs.com/sell/item/1060600966
難波正司*,Aerobics Training Excercise 2 / エアロビクス・トレーニング(応用編),80.0,GBP,https://www.discogs.com/sell/item/872229297
Mariya Takeuchi,Variety,80.0,GBP,https://www.discogs.com/sell/item/1057022434
Shohjo-Tai & Red Bus St Project,Escape,79.5,GBP,https://www.discogs.com/sell/item/1040752790
ゼロ戦*,アスファルト,79.5,GBP,https://www.discogs.com/sell/item/1040647863
