listings,title,price,currency,url
The Gerogerigegege,Showa (Ramones Edition),540.0,USD,https://www.discogs.com/sell/item/639426218
The Swanky's*,The Very Best Of Hero,450.0,USD,https://www.discogs.com/sell/item/1017094269
White Heaven,Next To Nothing,420.0,USD,https://www.discogs.com/sell/item/691513522
Determinations,This Is Determinations,380.0,USD,https://www.discogs.com/sell/item/994316792
James Iha / Britta Phillips,Shine Your Light / You Can't Escape,320.0,USD,https://www.discogs.com/sell/item/977715908
Various,Ghost In The Shell - Playstation Sound Track,300.0,USD,https://www.discogs.com/sell/item/866732255
Kraftwerk,Computerwelt,298.0,USD,https://www.discogs.com/sell/item/958129123
Ramones,California Sun / I Don't Wanna Walk Around With You,280.0,USD,https://www.discogs.com/sell/item/944702003
The Clash,The Singles,280.0,USD,https://www.discogs.com/sell/item/1043465664
Shack (3),...Here's Tom With The Weather,280.0,USD,https://www.discogs.com/sell/item/1072824041
Steve Kuhn,Steve Kuhn,280.0,USD,https://www.discogs.com/sell/item/1037451551
The ハナタラシ*,Take Back Your Penis!!,280.0,USD,https://www.discogs.com/sell/item/748578284
椎名 林檎*,勝訴ストリップ,280.0,USD,https://www.discogs.com/sell/item/962381178
Death Side,Bet On The Possibility,280.0,USD,https://www.discogs.com/sell/item/1040765868
Tokyo Philharmonic Chorus,合唱音楽の領域　ーその新しい地平ー,280.0,USD,https://www.discogs.com/sell/item/1015365763
The Nurse*,ナース,258.0,USD,https://www.discogs.com/sell/item/939208554
Long Beach Dub Allstars,Wonders Of The World,250.0,USD,https://www.discogs.com/sell/item/983940761
Hijyokaidan*,Originals,250.0,USD,https://www.discogs.com/sell/item/980001937
非常階段* + Incapacitants,Δ8000 / Prelude To Pallo,250.0,USD,https://www.discogs.com/sell/item/980002236
Merzbow,Collection:001,250.0,USD,https://www.discogs.com/sell/item/988264077
X*,Vanishing Vision,248.0,USD,https://www.discogs.com/sell/item/1059729637
Osamu Sato,Equal,248.0,USD,https://www.discogs.com/sell/item/811900182
Iron Maiden,Wrathchild,248.0,USD,https://www.discogs.com/sell/item/701327812
Popsong's Factory,My Pops / D'Améja,245.0,USD,https://www.discogs.com/sell/item/962381965
Gudon,残忍聖者,240.0,USD,https://www.discogs.com/sell/item/1048876436
Lykke Li,I Follow Rivers / The Remixes,240.0,USD,https://www.discogs.com/sell/item/976879256
Masturbation,Masturbation,238.0,USD,https://www.discogs.com/sell/item/1042784176
The Sexual,The Last Days,238.0,USD,https://www.discogs.com/sell/item/904490060
Die Toten Hosen,Reich & Sexy,238.0,USD,https://www.discogs.com/sell/item/1004746665
Christina Aguilera,Back To Basics,234.0,USD,https://www.discogs.com/sell/item/757812983
The Smiths,Sweet And Tender Hooligan,220.0,USD,https://www.discogs.com/sell/item/957451273
The Beautiful South,Solid Bronze - Great Hits,220.0,USD,https://www.discogs.com/sell/item/1001423912
Paul Weller,Days Of Speed,220.0,USD,https://www.discogs.com/sell/item/1001426118
Various,Infecund Infection,214.0,USD,https://www.discogs.com/sell/item/604116875
Crow (3),Last Chaos,214.0,USD,https://www.discogs.com/sell/item/961000158
Zinc Alloy,"Heavy Metal Panic ""Live""",200.0,USD,https://www.discogs.com/sell/item/885477980
Lisa Hannigan,Sea Sew,200.0,USD,https://www.discogs.com/sell/item/1056889177
The Wildhearts,Earth Vs The Wildhearts,200.0,USD,https://www.discogs.com/sell/item/996035544
Archie Shepp Quartet,Deja Vu,200.0,USD,https://www.discogs.com/sell/item/1021073725
Various,Shimmies In Super 8,198.0,USD,https://www.discogs.com/sell/item/944882896
The Cardigans,Gran Turismo,198.0,USD,https://www.discogs.com/sell/item/761354322
Bright Eyes,Letting Off The Happiness,198.0,USD,https://www.discogs.com/sell/item/1001527809
MxPx,Slowly Going The Way Of The Buffalo,198.0,USD,https://www.discogs.com/sell/item/1051917606
Spiritualized,Ladies And Gentlemen We Are Floating In Space,198.0,USD,https://www.discogs.com/sell/item/1038550908
Charles McPherson Quartet Featuring Steve Kuhn,But Beautiful,198.0,USD,https://www.discogs.com/sell/item/1071556670
Paul Weller,Studio 150,198.0,USD,https://www.discogs.com/sell/item/1057179784
Misfits,Famous Monsters,198.0,USD,https://www.discogs.com/sell/item/1050917499
Damien Youth,Bride Of The Asylum,198.0,USD,https://www.discogs.com/sell/item/948157477
The Royal Concept,Goldrushed,198.0,USD,https://www.discogs.com/sell/item/1033369112
Various,Call Me Tonight = コール・ミー・トィナイト 主題歌,188.0,USD,https://www.discogs.com/sell/item/1003015716
Nero (5),Welcome Reality,188.0,USD,https://www.discogs.com/sell/item/966908497
Millencolin,Same Old Tunes,188.0,USD,https://www.discogs.com/sell/item/956846829
あぶらだこ*,あぶらだこ,180.0,USD,https://www.discogs.com/sell/item/1042783153
Samhain,Initium,180.0,USD,https://www.discogs.com/sell/item/1043370020
White China,Smiles & Jokes,180.0,USD,https://www.discogs.com/sell/item/853950279
サリドマイド*,Thalidomide,180.0,USD,https://www.discogs.com/sell/item/985269540
Paul Weller,Studio 150,178.0,USD,https://www.discogs.com/sell/item/1001038097
These Immortal Souls,I'm Never Gonna Die Again,178.0,USD,https://www.discogs.com/sell/item/947150069
Lady Kim (3) = レディ・キム*,Autumn Leaves = 枯葉,178.0,USD,https://www.discogs.com/sell/item/1068976506
Sonic Youth,Daydream Nation,178.0,USD,https://www.discogs.com/sell/item/1043224478
The Brian Setzer Orchestra*,Vavoom!,178.0,USD,https://www.discogs.com/sell/item/1036084527
井内賢吾*,犬神と家畜,178.0,USD,https://www.discogs.com/sell/item/963655083
Ryuichi Sakamoto,Out Of Noise,178.0,USD,https://www.discogs.com/sell/item/836542558
Mad Caddies,Just One More,174.0,USD,https://www.discogs.com/sell/item/874328002
Hanatarashi*,2,168.0,USD,https://www.discogs.com/sell/item/863066008
Stereophonics,Pull The Pin,168.0,USD,https://www.discogs.com/sell/item/981178173
"Merzbow, Null*",Darh Eroc Evil,168.0,USD,https://www.discogs.com/sell/item/980002738
Millencolin,The Melancholy Collection,168.0,USD,https://www.discogs.com/sell/item/955710545
The Wildhearts,Earth Vs The Wildhearts,168.0,USD,https://www.discogs.com/sell/item/946969784
伊豆一彦,西遊妖猿伝 オリジナルアルバム,168.0,USD,https://www.discogs.com/sell/item/1000949319
Incapacitants,Repo,158.0,USD,https://www.discogs.com/sell/item/943402430
あぶらだこ*,あぶらだこ,158.0,USD,https://www.discogs.com/sell/item/1064307321
Chad VanGaalen,Skelliconnection,158.0,USD,https://www.discogs.com/sell/item/866683393
Primus,Antipop,150.0,USD,https://www.discogs.com/sell/item/835438238
Phish,The Story Of The Ghost,150.0,USD,https://www.discogs.com/sell/item/981043438
Cosmos Factory,Cosmos Factory,150.0,USD,https://www.discogs.com/sell/item/853943378
Paul McCartney,Flaming Pie,150.0,USD,https://www.discogs.com/sell/item/1061617893
Barry Harris Trio,The Last Time I Saw Paris,150.0,USD,https://www.discogs.com/sell/item/1021072463
Imitation Brain,Imitation Brain,150.0,USD,https://www.discogs.com/sell/item/756012016
Generation X (4),Tribute No One Wanted' Ep (Yellow Cover),150.0,USD,https://www.discogs.com/sell/item/947010191
Jullan,Pulse,150.0,USD,https://www.discogs.com/sell/item/854070257
Various,Short Circuit Live At The Electric Circus,150.0,USD,https://www.discogs.com/sell/item/977699123
Kylie*,The Abbey Road Sessions,150.0,USD,https://www.discogs.com/sell/item/1064037262
深町 純*,春 - Spring,150.0,USD,https://www.discogs.com/sell/item/1015350969
久石譲*,吉祥天女,150.0,USD,https://www.discogs.com/sell/item/839659417
S.S.T. Band,Galaxy Force,150.0,USD,https://www.discogs.com/sell/item/1064999955
Swans,Real Love,148.0,USD,https://www.discogs.com/sell/item/693789280
Weezer,Weezer,148.0,USD,https://www.discogs.com/sell/item/1072531138
Ned Doheny,Life After Romance,148.0,USD,https://www.discogs.com/sell/item/995954101
Kentaro Haneda,We Love Wizardry,148.0,USD,https://www.discogs.com/sell/item/1065001027
The Divine Comedy,Fin De Siècle,148.0,USD,https://www.discogs.com/sell/item/961094413
Jamiroquai,A Funk Odyssey,148.0,USD,https://www.discogs.com/sell/item/1066094831
David Sylvian,Weatherbox,148.0,USD,https://www.discogs.com/sell/item/839607599
Xanadu Rockalight Orchestra,All Over Xanadu オール・オーバー・ザナドゥ,148.0,USD,https://www.discogs.com/sell/item/1065002285
The White Stripes,Elephant,148.0,USD,https://www.discogs.com/sell/item/1063977019
小泉今日子*,Koizumi In The House,148.0,USD,https://www.discogs.com/sell/item/990548236
Archie Shepp Quartet,Blue Ballads,148.0,USD,https://www.discogs.com/sell/item/992050337
Helge Lien Trio,To The Little Radio,148.0,USD,https://www.discogs.com/sell/item/1008563531
Bannlyst,La Dem Ikke Lure Deg,148.0,USD,https://www.discogs.com/sell/item/845218193
Nurse (5),Nurse II,148.0,USD,https://www.discogs.com/sell/item/1006380437
