listings,title,price,currency,url
Twenty Sixty Six And Then,Reflections On The Future,2640.0,EUR,https://www.discogs.com/sell/item/1069653780
The Rolling Stones,The Rolling Stones,2277.0,EUR,https://www.discogs.com/sell/item/1069628766
"Paul Chambers Quintet With Donald Byrd, Cliff Jordan*, Tommy Flanagan, Elvin Jones",Paul Chambers Quintet,1650.0,EUR,https://www.discogs.com/sell/item/1070008937
The Beatles,Revolver,1540.0,EUR,https://www.discogs.com/sell/item/1070323365
Dr. Z (3),"Three Parts To My Soul (Spiritus, Manes Et Umbra)",1466.66,EUR,https://www.discogs.com/sell/item/1070328858
Il Rovescio Della Medaglia,Io Come Io,1375.0,EUR,https://www.discogs.com/sell/item/1070383765
Odin (3),Odin,1375.0,EUR,https://www.discogs.com/sell/item/1069655854
Pink Floyd,The Dark Side Of The Moon,1319.99,EUR,https://www.discogs.com/sell/item/1070258881
David Bowie,The Man Who Sold The World,1319.99,EUR,https://www.discogs.com/sell/item/1070359186
The Rolling Stones,No. 2,1100.0,EUR,https://www.discogs.com/sell/item/1070024083
Cannonball Adderley,Somethin' Else,1098.9,EUR,https://www.discogs.com/sell/item/1070223037
Kluster (3),Klopfzeichen,1086.8,EUR,https://www.discogs.com/sell/item/1070329664
Carl Perkins,Whole Lotta Shakin',1056.0,EUR,https://www.discogs.com/sell/item/1069959202
Hank Mobley Quintet*,Mobley's 2nd Message,1034.0,EUR,https://www.discogs.com/sell/item/1070327856
Black Sabbath,Master Of Reality,990.0,EUR,https://www.discogs.com/sell/item/1070203552
Les Beatles*,Les Beatles 1965,990.0,EUR,https://www.discogs.com/sell/item/1070121095
The Human Beast,Volume One,990.0,EUR,https://www.discogs.com/sell/item/1070250987
Wara (3),El Inca (Música Progresiva Boliviana),968.0,EUR,https://www.discogs.com/sell/item/1070417706
"Johannes Brahms, Jörg Demus, Ludwig Hoelscher",Sonate Fur Klavier Und Violoncello E-moll Op. 38 /  Sonate Fur Klavier Und Violoncello F-dur Op. 99,962.5,EUR,https://www.discogs.com/sell/item/1070330275
The Jimi Hendrix Experience,Are You Experienced,880.0,EUR,https://www.discogs.com/sell/item/1070242609
Elvis Presley,Elvis' Christmas Album,880.0,EUR,https://www.discogs.com/sell/item/1070423747
Curtis Fuller's Quintet,Blues-ette,858.0,EUR,https://www.discogs.com/sell/item/1070374557
CWT,The Hundredweight,824.99,EUR,https://www.discogs.com/sell/item/1069651963
U2,Achtung Baby,824.99,EUR,https://www.discogs.com/sell/item/1069706742
Die Ärzte,Eine Botschaft Von Die Ärzte In Stereooooooooh !,792.0,EUR,https://www.discogs.com/sell/item/1070203166
Master's Apprentices*,A Toast To Panama Red,770.0,EUR,https://www.discogs.com/sell/item/1070024743
Electric Sandwich,Electric Sandwich,756.58,EUR,https://www.discogs.com/sell/item/1069711143
McChurch Soundroom,Delusion,748.0,EUR,https://www.discogs.com/sell/item/1070262256
The Roulettes,Stakes And Chips,715.0,EUR,https://www.discogs.com/sell/item/1070323320
The Rolling Stones,Big hits - Vol. 2,660.0,EUR,https://www.discogs.com/sell/item/1070252563
Queen,Greatest Hits,660.0,EUR,https://www.discogs.com/sell/item/1069613814
Santana,Supernatural,660.0,EUR,https://www.discogs.com/sell/item/1069942115
Elvis*,Back In Memphis,660.0,EUR,https://www.discogs.com/sell/item/1069595913
Depeche Mode,Stripped (Highland Mix),660.0,EUR,https://www.discogs.com/sell/item/1070215997
Master's Apprentices*,A Toast To Panama Red,660.0,EUR,https://www.discogs.com/sell/item/1070179746
"Duško Gojković*, Kenny Clarke",Internacionalni Jazz Oktet Duška Gojkovića Sa Keni Klarkom,660.0,EUR,https://www.discogs.com/sell/item/1070326498
Felipe De La Rosa,Flamenco Fever,643.5,EUR,https://www.discogs.com/sell/item/1069699782
Thelonious Monk / Sonny Rollins,Thelonious Monk / Sonny Rollins,643.5,EUR,https://www.discogs.com/sell/item/1070362369
Mod-it,Physical Fascination,616.0,EUR,https://www.discogs.com/sell/item/1070216054
Titus Groan,Titus Groan,616.0,EUR,https://www.discogs.com/sell/item/1070194667
Nirvana (2),Local Anaesthetic,615.04,EUR,https://www.discogs.com/sell/item/1069664662
Frank Zappa,Beat The Boots! #2,605.0,EUR,https://www.discogs.com/sell/item/1069950764
Gracious!*,Gracious!,598.4,EUR,https://www.discogs.com/sell/item/1070244715
Jethro Tull,Stand Up,572.0,EUR,https://www.discogs.com/sell/item/1070020633
Wind (5),Seasons,558.98,EUR,https://www.discogs.com/sell/item/1069958641
Gila (2),Gila,555.37,EUR,https://www.discogs.com/sell/item/1069909075
Warhorse (2),Red Sea,554.4,EUR,https://www.discogs.com/sell/item/1069713758
Elvis Presley,Elvis Presley,550.0,EUR,https://www.discogs.com/sell/item/1070321676
Glenn Gould,Glenn Gould Remastered - The Complete Columbia Album Collection,550.0,EUR,https://www.discogs.com/sell/item/1069608560
F.U.S.E.,Dimensions,550.0,EUR,https://www.discogs.com/sell/item/1069656343
These Are They (2),Gloster Williams Presents These Are They,550.0,EUR,https://www.discogs.com/sell/item/1069946056
Leaf Hound,Leaf Hound,550.0,EUR,https://www.discogs.com/sell/item/1070278940
Elvis Presley,For LP Fans Only,549.99,EUR,https://www.discogs.com/sell/item/1070219395
The Doors,Break On Through,549.99,EUR,https://www.discogs.com/sell/item/1070173568
Elvis Presley,King Creole,549.99,EUR,https://www.discogs.com/sell/item/1070219415
Ramases,Space Hymns,544.5,EUR,https://www.discogs.com/sell/item/1069638057
Jennifer Warnes,The Hunter,544.5,EUR,https://www.discogs.com/sell/item/1069633367
The Beatles,Rubber Soul,544.49,EUR,https://www.discogs.com/sell/item/1070381054
Out Of Focus,Out Of Focus,539.0,EUR,https://www.discogs.com/sell/item/1070196550
Achim Reichel & Machines*,Echo,539.0,EUR,https://www.discogs.com/sell/item/1070008793
"Vivaldi*, Salvatore Accardo, I Solisti Delle Settimane Musicali Internazionali di Napoli",Le Quattro Stagioni = The Four Seasons / Concerto Per 3 Violini · Concerto Per 4 Violini,534.41,EUR,https://www.discogs.com/sell/item/1070273029
The Beatles,Revolver,528.0,EUR,https://www.discogs.com/sell/item/1070242981
Ry Cooder,Jazz,528.0,EUR,https://www.discogs.com/sell/item/1069949768
Gravy Train,Gravy Train,528.0,EUR,https://www.discogs.com/sell/item/1070240093
Rikki Ililonga,Dread Eyes,524.92,EUR,https://www.discogs.com/sell/item/1070275028
Art (2),Supernatural Fairy Tales,508.75,EUR,https://www.discogs.com/sell/item/1070322818
Kin Ping Meh,Kin Ping Meh,507.62,EUR,https://www.discogs.com/sell/item/1070194800
The Beatles,The Beatles,498.21,EUR,https://www.discogs.com/sell/item/1069615292
Sonny Jenkins And The New York Potpourri Strings,That Friday Pay (Eagle Flying Day),495.0,EUR,https://www.discogs.com/sell/item/1069652546
Tear Gas,Tear Gas,495.0,EUR,https://www.discogs.com/sell/item/1070202880
The Rolling Stones,Grrr!,495.0,EUR,https://www.discogs.com/sell/item/1069628800
Pop Rivets*,Greatest Hits,495.0,EUR,https://www.discogs.com/sell/item/1070233318
Various,Woodstock: 40th Anniversary Ultimate Collector's Edition,495.0,EUR,https://www.discogs.com/sell/item/1069621294
Various,Woodstock: 40th Anniversary Ultimate Collector's Edition,495.0,EUR,https://www.discogs.com/sell/item/1069621300
Ray Gentry / The Rovin' Gamblers,Willie Was A Bad Boy / Do The Fly,495.0,EUR,https://www.discogs.com/sell/item/1070238932
PiL*,Metal Box,495.0,EUR,https://www.discogs.com/sell/item/1069963447
Supertramp,Crime Of The Century,494.01,EUR,https://www.discogs.com/sell/item/1070329565
Frumpy,Frumpy 2,492.8,EUR,https://www.discogs.com/sell/item/1069957377
