listings,title,price,currency,url
Ricardo Marrero & The Group,A Taste,660000.0,JPY,https://www.discogs.com/sell/item/1050914956
The Beatles,The Beatles,462000.0,JPY,https://www.discogs.com/sell/item/1052058084
Madonna,Erotica,447370.0,JPY,https://www.discogs.com/sell/item/1042565801
Mighty Ryeders,Help Us Spread The Message,420000.0,JPY,https://www.discogs.com/sell/item/1071466557
The Pretty Things,S. F. Sorrow,373500.0,JPY,https://www.discogs.com/sell/item/1042565802
Alex Brown,In Search Of Love,297000.0,JPY,https://www.discogs.com/sell/item/1042565803
Alco (3),Threads Of Life,277200.0,JPY,https://www.discogs.com/sell/item/1042565804
The Beach Boys,Surfin' USA,270000.0,JPY,https://www.discogs.com/sell/item/1054584938
Czar (2),Czar,220000.0,JPY,https://www.discogs.com/sell/item/1052058085
The Amboy Dukes,Migration,217800.0,JPY,https://www.discogs.com/sell/item/1042565805
Jus' Us,Jus Us Together,190000.0,JPY,https://www.discogs.com/sell/item/1060479922
Pretty Things*,Parachute,178200.0,JPY,https://www.discogs.com/sell/item/1042565807
The Keith Tippett Group,"Dedicated To You, But You Weren't Listening",178200.0,JPY,https://www.discogs.com/sell/item/1042565806
Vernon Allen (2),Far I Come / Babylon,170000.0,JPY,https://www.discogs.com/sell/item/1071529508
Teresa Teng,酒醉的探戈 ,160200.0,JPY,https://www.discogs.com/sell/item/1042565808
Neil Young & Crazy Horse,Everybody Knows This Is Nowhere,158400.0,JPY,https://www.discogs.com/sell/item/1042565809
The Mothers Of Invention*,Absolutely Free,155833.0,JPY,https://www.discogs.com/sell/item/1042565810
Francisco Aguabella,Hitting Hard,152000.0,JPY,https://www.discogs.com/sell/item/1071512755
デビッド・ボウイー* = David Bowie,ドゥ・エニィシング・ユー・セイ = Do Anything You Say,150333.0,JPY,https://www.discogs.com/sell/item/1042565811
The Who = ザ・フゥー*,Out In The Street = アウト・イン・ザ・ストリート,144833.0,JPY,https://www.discogs.com/sell/item/1042565812
Various,Brush！,142601.0,JPY,https://www.discogs.com/sell/item/1042565813
Bob Dylan,Bob Dylan/Vol.4,136457.0,JPY,https://www.discogs.com/sell/item/1042565816
The Beatles,"Hello, Goodbye",140800.0,JPY,https://www.discogs.com/sell/item/1052058086
Van Morrison,Astral Weeks (バン・モリソンの新しい世界）,142083.0,JPY,https://www.discogs.com/sell/item/1042565815
Marcos Valle,Previsão Do Tempo,140000.0,JPY,https://www.discogs.com/sell/item/1054594127
Traffic,Traffic First Album,121000.0,JPY,https://www.discogs.com/sell/item/1050915142
The Ghost (2),When You're Dead - One Second,117000.0,JPY,https://www.discogs.com/sell/item/1042565818
The Stalin,Trash,120000.0,JPY,https://www.discogs.com/sell/item/1050915167
Solid Gold Revue Featuring Ray Crumley,Love's Traffic,110000.0,JPY,https://www.discogs.com/sell/item/1042565817
テレサ・テン*,コンサート・ライブ Concert Live,108000.0,JPY,https://www.discogs.com/sell/item/1042565820
The Hollies,Bus Stop,100000.0,JPY,https://www.discogs.com/sell/item/1054596394
Nirvana,Bleach,97000.0,JPY,https://www.discogs.com/sell/item/1052058087
Big Brother & The Holding Company,Big Brother & The Holding Company,100114.0,JPY,https://www.discogs.com/sell/item/1042565822
The Topics,Wanted Live! By A Million Girls,98000.0,JPY,https://www.discogs.com/sell/item/1071494162
The Who,The Who Sell Out,93500.0,JPY,https://www.discogs.com/sell/item/1042565823
Black Cat Bones,Barbed Wire Sandwich,93500.0,JPY,https://www.discogs.com/sell/item/1042565824
Enlightment,Faith Is The Key,90000.0,JPY,https://www.discogs.com/sell/item/1004815786
Masabumi Kikuchi Sextet,Matrix,88000.0,JPY,https://www.discogs.com/sell/item/1060434150
Quartetto Di Giorgio Buratti,Jazz Forms For Export,88000.0,JPY,https://www.discogs.com/sell/item/1060480148
The Crazy World Of Arthur Brown,Fire / The Crazy World Of Arthur Brown,88000.0,JPY,https://www.discogs.com/sell/item/1054596961
Bob Dylan,Bob Dylan Vol. 3,83146.1,JPY,https://www.discogs.com/sell/item/1042565828
Joe Meek,I Hear A New World (Part 1),85351.9,JPY,https://www.discogs.com/sell/item/1042565825
Hall Daniels' Septet,Playing,84842.8,JPY,https://www.discogs.com/sell/item/1042565826
Procol Harum,Procol Harum,83300.0,JPY,https://www.discogs.com/sell/item/1042565827
Phylliss Bailey,Phylliss,84000.0,JPY,https://www.discogs.com/sell/item/1050915229
Takeshi Inomata & Sound Limited,Inomata Meets Rock,83146.1,JPY,https://www.discogs.com/sell/item/1042565829
The Blues Magoos*,Basic Blues Magoos,82620.0,JPY,https://www.discogs.com/sell/item/1042565830
Spring (6),Spring,82280.0,JPY,https://www.discogs.com/sell/item/1042565831
The Sons And Daughters Of Lite*,Let The Sun Shine In,82000.0,JPY,https://www.discogs.com/sell/item/1071511407
MC5,Kick Out The Jams,82280.0,JPY,https://www.discogs.com/sell/item/1042565832
The Chitinous Ensemble,Chitinous,80000.0,JPY,https://www.discogs.com/sell/item/1060480283
