listings,title,price,currency,url
Various,Futura: Poesia Sonora,750.0,USD,https://www.discogs.com/sell/item/827186093
Roland Kayn,Infra,325.0,USD,https://www.discogs.com/sell/item/1061617525
Nitzer Ebb,1982-2010,239.98,USD,https://www.discogs.com/sell/item/809232271
The Velvet Underground,The Complete Matrix Tapes,239.98,USD,https://www.discogs.com/sell/item/1013605248
David Bowie,A New Career In A New Town [1977-1982],229.98,USD,https://www.discogs.com/sell/item/547057217
Le Frank 'O,Keep On Gettin' Down,225.0,USD,https://www.discogs.com/sell/item/956374081
Various,The Brown Bunny (Motion Picture Soundtrack),200.0,USD,https://www.discogs.com/sell/item/1045045590
Brian Eno,Music For Installations,199.98,USD,https://www.discogs.com/sell/item/860443332
Grateful Dead*,"Dick's Picks 34: 11/5/77 Community War Memorial, Rochester, NY",185.98,USD,https://www.discogs.com/sell/item/1039808836
Alvin Lucier,Illuminated By The Moon,174.98,USD,https://www.discogs.com/sell/item/817041722
Beat Happening,We Are Beat Happening,150.98,USD,https://www.discogs.com/sell/item/1068015697
Neil Young,Prairie Wind,150.0,USD,https://www.discogs.com/sell/item/1021295403
The Who,Who's Next,150.0,USD,https://www.discogs.com/sell/item/999071190
Big Star,Third [Test Pressing Edition],150.0,USD,https://www.discogs.com/sell/item/1022431569
Kate Bush,Remastered In Vinyl III,149.98,USD,https://www.discogs.com/sell/item/852089844
The 39 Clocks*,Next Dimension Transfer,147.98,USD,https://www.discogs.com/sell/item/919550058
Popol Vuh,The Essential Album Collection Vol.1,144.98,USD,https://www.discogs.com/sell/item/945791895
The Dave Brubeck Quartet,Time Out,140.0,USD,https://www.discogs.com/sell/item/818096768
Yam Slam,Surf It Up,140.0,USD,https://www.discogs.com/sell/item/1040753382
Michael Rother,Solo,130.98,USD,https://www.discogs.com/sell/item/919134919
Peter Laughner,Peter Laughner,129.98,USD,https://www.discogs.com/sell/item/994834445
Gruppo di Improvvisazione Nuova Consonanza,Azioni / Reazioni 1967-1969,127.98,USD,https://www.discogs.com/sell/item/507682137
Mariah Carey,The Emancipation Of Mimi,125.0,USD,https://www.discogs.com/sell/item/1015759150
Various,40 Anni Di Jazz In Italia (A Cura Di Adriano Mazzoletti),120.0,USD,https://www.discogs.com/sell/item/777508947
The Doors,L.A. Woman,120.0,USD,https://www.discogs.com/sell/item/910754925
Kraftwerk,Kraftwerk 2,120.0,USD,https://www.discogs.com/sell/item/1066748465
King Crimson,Live In Toronto,119.98,USD,https://www.discogs.com/sell/item/1013608335
Chris Carter (2),Miscellany,119.98,USD,https://www.discogs.com/sell/item/983026518
Clock DVA,"Horology 2 - Clockdva, The Future & Radiophonic Dvations",119.98,USD,https://www.discogs.com/sell/item/1017130261
16 Horsepower,All Access,115.98,USD,https://www.discogs.com/sell/item/1043116025
The Rolling Stones,The Rolling Stones Story,115.0,USD,https://www.discogs.com/sell/item/897532018
Sparklehorse,It's A Wonderful Life,115.0,USD,https://www.discogs.com/sell/item/1012210484
Bubbha Thomas & The Lightmen*,Creative Music: The Complete Works,112.98,USD,https://www.discogs.com/sell/item/905022033
The Beatles,The Beatles And Esher Demos,112.98,USD,https://www.discogs.com/sell/item/828189883
Berrocal*,1973-1976-1979,109.98,USD,https://www.discogs.com/sell/item/1049427136
Mogwai,Come On Die Young,109.98,USD,https://www.discogs.com/sell/item/965850356
Molforts,Les músiques per a Albert Serra,100.98,USD,https://www.discogs.com/sell/item/1066096173
Richard Thompson,The Old Kit Bag,100.0,USD,https://www.discogs.com/sell/item/1052662690
Lester Young With The Oscar Peterson Trio*,Lester Young With The Oscar Peterson Trio #2,100.0,USD,https://www.discogs.com/sell/item/810929667
Art Blakey & The Jazz Messengers,Free For All,100.0,USD,https://www.discogs.com/sell/item/910755583
Ron Geesin,A Raise Of Eyebrows,100.0,USD,https://www.discogs.com/sell/item/255192267
Byongki Hwang*,"Music From Korea, Volume 1: The Kayakeum",100.0,USD,https://www.discogs.com/sell/item/812093060
Ike Quebec,Easy Living,100.0,USD,https://www.discogs.com/sell/item/1047000697
The Peter Brötzmann Octet*,Machine Gun,100.0,USD,https://www.discogs.com/sell/item/959264594
Legowelt,The Teac Life,100.0,USD,https://www.discogs.com/sell/item/944737043
Thee Hypnotics,Righteously Re-Charged,99.98,USD,https://www.discogs.com/sell/item/718588567
The Beatles,Abbey Road,99.98,USD,https://www.discogs.com/sell/item/1005779949
Kate Bush,Remastered In Vinyl I,99.98,USD,https://www.discogs.com/sell/item/852089713
Chris Bell,The Complete Chris Bell,99.98,USD,https://www.discogs.com/sell/item/573335580
Edward Artemiev*,Solaris. Sound And Vision,99.98,USD,https://www.discogs.com/sell/item/996266039
Creedence Clearwater Revival,Creedence Clearwater Revival 1969 Archive Box,99.98,USD,https://www.discogs.com/sell/item/403161779
Led Zeppelin,How The West Was Won,99.98,USD,https://www.discogs.com/sell/item/1053508975
The Smiths,The Queen Is Dead,99.98,USD,https://www.discogs.com/sell/item/852092470
Kate Bush,Remastered In Vinyl IV,99.98,USD,https://www.discogs.com/sell/item/852091017
The Pop Group,Y,95.98,USD,https://www.discogs.com/sell/item/1034102147
Steve Reich - Kronos Quartet / Pat Metheny,Different Trains / Electric Counterpoint,90.0,USD,https://www.discogs.com/sell/item/682671620
The Answer (10),"""U'R""(""You Are All I'll Ever Need"")",90.0,USD,https://www.discogs.com/sell/item/1040797345
Radiohead,A Moon Shaped Pool,89.98,USD,https://www.discogs.com/sell/item/412154861
Bob Dylan,Rolling Thunder Revue,87.98,USD,https://www.discogs.com/sell/item/985540217
The Velvet Underground,The Verve/MGM Albums,85.0,USD,https://www.discogs.com/sell/item/1067084522
The Jazz Messengers*,At The Cafe Bohemia Volume 1,85.0,USD,https://www.discogs.com/sell/item/1042240014
Harry Belafonte,Belafonte Sings The Blues,85.0,USD,https://www.discogs.com/sell/item/879896774
Paul Panhuysen,Long String Installations,81.98,USD,https://www.discogs.com/sell/item/733354072
Art Blakey & The Jazz Messengers,Indestructible,80.0,USD,https://www.discogs.com/sell/item/1042243023
Byongki Hwang*,"Music From Korea, Vol. 1: The Kayakeum",80.0,USD,https://www.discogs.com/sell/item/1066723387
Black Box Recorder,England Made Me,80.0,USD,https://www.discogs.com/sell/item/981362221
Art Pepper,The Complete Pacific Jazz Small Group Recordings Of Art Pepper,80.0,USD,https://www.discogs.com/sell/item/808026159
McCoy Tyner,The Real McCoy,80.0,USD,https://www.discogs.com/sell/item/1047010162
The Roots,Things Fall Apart,79.98,USD,https://www.discogs.com/sell/item/1002536833
Brother Ah*,Divine Music,79.98,USD,https://www.discogs.com/sell/item/490156259
The Magnetic Fields,50 Song Memoir,79.98,USD,https://www.discogs.com/sell/item/1034463437
Buffalo Springfield,What's That Sound? Complete Albums Collection,79.98,USD,https://www.discogs.com/sell/item/841651927
Bob Dylan,Trouble No More (1979-1981),79.98,USD,https://www.discogs.com/sell/item/564904261
Incapacitants,Stupid Is Stupid,78.98,USD,https://www.discogs.com/sell/item/1043117573
Zoviet France,Popular Soviet Songs And Youth Music,78.98,USD,https://www.discogs.com/sell/item/1014426051
George Lewis (2),The Complete Blue Note Recordings Of George Lewis,75.0,USD,https://www.discogs.com/sell/item/863550958
Bob Dylan,The Best Of The Cutting Edge 1965-1966,75.0,USD,https://www.discogs.com/sell/item/958533894
Charlie Parker And His Orchestra,Night And Day,75.0,USD,https://www.discogs.com/sell/item/849964864
"Ry Cooder, Manuel Galbán",Mambo Sinuendo,75.0,USD,https://www.discogs.com/sell/item/1012210595
The Byrds,Sweetheart Of The Rodeo,72.98,USD,https://www.discogs.com/sell/item/833490344
Satya Sai Maitreya Kali,Apache / Inca,71.98,USD,https://www.discogs.com/sell/item/1049428353
Edmond Hall / James P. Johnson* / Sidney De Paris / Vic Dickenson,The Complete Edmond Hall / James P. Johnson / Sidney De Paris / Vic Dickenson Blue Note Sessions,70.0,USD,https://www.discogs.com/sell/item/827239766
The Yardbirds,Shapes Of Things,70.0,USD,https://www.discogs.com/sell/item/461395288
Jimmy Reed,Jimmy Reed At Carnegie Hall / The Best Of Jimmy Reed,70.0,USD,https://www.discogs.com/sell/item/1022077767
Bob Dylan,Blood On The Tracks,70.0,USD,https://www.discogs.com/sell/item/879896843
The Jean-Paul Sartre Experience*,I Like Rain: The Story Of The Jean-Paul Sartre Experience,69.98,USD,https://www.discogs.com/sell/item/272397739
Bowie*,Mercury Demos,69.98,USD,https://www.discogs.com/sell/item/982443621
Half Japanese*,Volume Four: 1997 -2001,69.98,USD,https://www.discogs.com/sell/item/547600072
Else Marie Pade,Electronic Works 1958-1995,66.98,USD,https://www.discogs.com/sell/item/1010991297
Kamasi Washington,Heaven And Earth,65.98,USD,https://www.discogs.com/sell/item/1040797280
Baka Pygmy*,Cameroon - Baka Pygmy Music,65.0,USD,https://www.discogs.com/sell/item/625572138
Albert Marcœur,Celui Où Y'A Joseph,65.0,USD,https://www.discogs.com/sell/item/637557588
Diana Ross And The Supremes,Supreme Rarities: Motown Lost & Found (1960-1969),64.98,USD,https://www.discogs.com/sell/item/1013557448
Sufjan Stevens,Songs For Christmas,64.98,USD,https://www.discogs.com/sell/item/1033980617
Happy Mondays,The Early EP's,62.98,USD,https://www.discogs.com/sell/item/1017967864
Alexander Spence,AndOarAgain,60.98,USD,https://www.discogs.com/sell/item/931184542
Frank Sinatra,Nice 'N' Easy,60.0,USD,https://www.discogs.com/sell/item/1012214207
