listings,title,price,currency,url
Michael Vidal,Dream Center,1165.0,USD,https://www.discogs.com/sell/item/467259801
Beck,Odelay,229.51,USD,https://www.discogs.com/sell/item/369060660
Modest Mouse,This Is A Long Drive For Someone With Nothing To Think About,203.14,USD,https://www.discogs.com/sell/item/182220459
Eluvium,Life Through Bombardment Vol. 2,163.86,USD,https://www.discogs.com/sell/item/359685533
Ugly Casanova,Sharpen Your Teeth,143.69,USD,https://www.discogs.com/sell/item/270503709
Luna (5),Long Players 92-99,143.54,USD,https://www.discogs.com/sell/item/608380501
The Monochrome Set,1979-1985: Complete Recordings,137.93,USD,https://www.discogs.com/sell/item/819527830
David Bowie,Sound + Vision,129.65,USD,https://www.discogs.com/sell/item/839675265
Bright Eyes,The Studio Albums 2000-2011,115.59,USD,https://www.discogs.com/sell/item/1030377033
Boards Of Canada,Geogaddi,109.33,USD,https://www.discogs.com/sell/item/113583724
John Fahey,The Transcendental Waterfall: Guitar Excursions 1962-1967,108.98,USD,https://www.discogs.com/sell/item/1050918362
Al Green,The Hi Records Singles Collection,102.13,USD,https://www.discogs.com/sell/item/929981081
Various,Parallelogram,101.29,USD,https://www.discogs.com/sell/item/330933711
The Avalanches,Since I Left You,97.81,USD,https://www.discogs.com/sell/item/464555378
Various,"""Or Thousands Of Prizes"" Limited Edition 7-inch Subscription Box Set",96.52,USD,https://www.discogs.com/sell/item/285383794
Marvin Gaye,Volume One 1961 - 1965,96.06,USD,https://www.discogs.com/sell/item/605207520
Marvin Gaye,Volume Two 1966 - 1970,95.01,USD,https://www.discogs.com/sell/item/748561735
Hoquiam,Hoquiam,95.0,USD,https://www.discogs.com/sell/item/1020478364
Brian Eno With Jon Hopkins & Leo Abrahams,Small Craft On A Milk Sea,90.95,USD,https://www.discogs.com/sell/item/509835960
Bob Dylan,Trouble No More (1979-1981),89.79,USD,https://www.discogs.com/sell/item/570840978
Various,"Not The Spaces You Know, But Between Them",87.17,USD,https://www.discogs.com/sell/item/994393048
Various,Ork Records: Complete Singles,86.42,USD,https://www.discogs.com/sell/item/554453979
Th' Faith Healers,Imaginary Friend,85.94,USD,https://www.discogs.com/sell/item/1021020320
Mark Lanegan,One Way Street (The Sub Pop Albums),80.53,USD,https://www.discogs.com/sell/item/1058995461
Liz Phair,Girly-Sound To Guyville,80.09,USD,https://www.discogs.com/sell/item/823143176
The Magnetic Fields,69 Love Songs,79.41,USD,https://www.discogs.com/sell/item/1064703526
Various,Warfaring Strangers: Darkscorch Canticles,79.35,USD,https://www.discogs.com/sell/item/429903030
The Flaming Lips,Heady Nuggs: the Second 5 Warner Bros. Records 2006-2012,79.24,USD,https://www.discogs.com/sell/item/385434006
Brother Ah*,Divine Music,76.21,USD,https://www.discogs.com/sell/item/708634465
Eric's Trip,Purple Blue,75.39,USD,https://www.discogs.com/sell/item/330479828
Belle & Sebastian,Push Barman To Open Old Wounds,73.28,USD,https://www.discogs.com/sell/item/187366144
Milk 'N' Cookies,Milk 'N' Cookies,73.27,USD,https://www.discogs.com/sell/item/467147302
The Residents,"The Residents Present Alvin Snow, Aka Dyin' Dog",72.94,USD,https://www.discogs.com/sell/item/1068072925
Scout Niblett,Kidnapped By Neptune,71.65,USD,https://www.discogs.com/sell/item/996321226
Motörhead,Motörhead,70.7,USD,https://www.discogs.com/sell/item/486408835
Various,If I Were A Carpenter,69.0,USD,https://www.discogs.com/sell/item/922100867
The Notwist,12,67.22,USD,https://www.discogs.com/sell/item/997118863
Unwound,Empire,66.84,USD,https://www.discogs.com/sell/item/417974359
The Afghan Whigs,Gentlemen,66.81,USD,https://www.discogs.com/sell/item/100209319
Various,The Rick And Morty Soundtrack,66.57,USD,https://www.discogs.com/sell/item/1058994361
HP Zinker*,Singles Box 1989 - 1994,65.66,USD,https://www.discogs.com/sell/item/548865211
Pere Ubu,"Drive, He Said 1994-2002",65.02,USD,https://www.discogs.com/sell/item/773588233
Hood,Silent '88,65.0,USD,https://www.discogs.com/sell/item/1020456656
Portugal. The Man,It's Complicated Being A Wizard,65.0,USD,https://www.discogs.com/sell/item/1021228515
Ganger,Hammock Style,65.0,USD,https://www.discogs.com/sell/item/1021100094
The Flaming Lips,Heady Nuggs: the Second 5 Warner Bros. Records 2006-2012,64.97,USD,https://www.discogs.com/sell/item/507468755
Various,Stock Copy,63.37,USD,https://www.discogs.com/sell/item/556317931
Pere Ubu,Architecture Of Language 1979 - 1982,63.33,USD,https://www.discogs.com/sell/item/740962353
Pere Ubu,Les Haricots Sont Pas Salés 1987-1991,63.33,USD,https://www.discogs.com/sell/item/740962395
Modest Mouse,Everywhere And His Nasty Parlour Tricks,62.85,USD,https://www.discogs.com/sell/item/529637557
Bob’s Burgers,The Bob’s Burgers Music Album,60.1,USD,https://www.discogs.com/sell/item/1018786257
The Flaming Lips,The Flaming Lips And Heady Fwends,60.03,USD,https://www.discogs.com/sell/item/88553864
Half Japanese*,Greatest Hits,59.89,USD,https://www.discogs.com/sell/item/206569567
The Sun Ra Arkestra,Live In Nickelsdorf 1984,59.62,USD,https://www.discogs.com/sell/item/363838979
Wooden Wand,Archives Volume 3,59.57,USD,https://www.discogs.com/sell/item/218783573
Boredoms,Sunsidal Cendencies,59.01,USD,https://www.discogs.com/sell/item/188099551
Bardo Pond,Set And Setting,58.53,USD,https://www.discogs.com/sell/item/520542092
The Notwist,Shrink,58.35,USD,https://www.discogs.com/sell/item/222658465
Half Japanese*,1/2 Gentlemen / Not Beasts,58.16,USD,https://www.discogs.com/sell/item/705091970
Half Japanese*,Volume One: 1981-1985,58.08,USD,https://www.discogs.com/sell/item/155513344
Luna (5),Romantica,57.92,USD,https://www.discogs.com/sell/item/263774543
