listings,title,price,currency,url
Bruce Springsteen,"Greetings From Asbury Park, N.J.",4000.0,USD,https://www.discogs.com/sell/item/991481768
Bruce Springsteen,"Greetings From Asbury Park, N.J.",4000.0,USD,https://www.discogs.com/sell/item/991481768
J.A.シーザー* と 悪魔の家 + 天井桟敷*,国境巡礼歌 (J・A・シーザー・リサイタル),2050.0,USD,https://www.discogs.com/sell/item/1050260233
J.A.シーザー* と 悪魔の家 + 天井桟敷*,国境巡礼歌 (J・A・シーザー・リサイタル),2050.0,USD,https://www.discogs.com/sell/item/1050260233
Michael Vidal,Dream Center,1165.0,USD,https://www.discogs.com/sell/item/467259801
Michael Vidal,Dream Center,1165.0,USD,https://www.discogs.com/sell/item/467259801
Johann Sebastian Bach - Janos Starker,Suites For Unaccompanied Cello Complete,999.99,USD,https://www.discogs.com/sell/item/1021882699
Johann Sebastian Bach - Janos Starker,Suites For Unaccompanied Cello Complete,999.99,USD,https://www.discogs.com/sell/item/1021882699
里国隆*,奄美の哭きうた,899.9,USD,https://www.discogs.com/sell/item/971480692
里国隆*,奄美の哭きうた,899.9,USD,https://www.discogs.com/sell/item/971480692
Prince,His Majesty's Pop Life / The Purple Mix Club,99999.0,JPY,https://www.discogs.com/sell/item/460566847
Prince,His Majesty's Pop Life / The Purple Mix Club,99999.0,JPY,https://www.discogs.com/sell/item/460566847
Sex Pistols,Silly Thing,50000.0,JPY,https://www.discogs.com/sell/item/653348326
Sex Pistols,Silly Thing,50000.0,JPY,https://www.discogs.com/sell/item/653348326
National Health,National Health,39800.0,JPY,https://www.discogs.com/sell/item/506734635
Testpattern,Après-Midi,39800.0,JPY,https://www.discogs.com/sell/item/481948019
National Health,National Health,39800.0,JPY,https://www.discogs.com/sell/item/506734635
Testpattern,Après-Midi,39800.0,JPY,https://www.discogs.com/sell/item/481948019
The Dooleys,The Pop Fantasia,39000.0,JPY,https://www.discogs.com/sell/item/450498887
The Dooleys,The Pop Fantasia,39000.0,JPY,https://www.discogs.com/sell/item/450498887
Masaru Imada Trio +2*,Green Caterpillar,350.0,GBP,https://www.discogs.com/sell/item/1066469032
Masaru Imada Trio +2*,Green Caterpillar,350.0,GBP,https://www.discogs.com/sell/item/1066469032
Claude Rodap - Fregate Orchestra,Syn-Ka,300.0,GBP,https://www.discogs.com/sell/item/993219215
Claude Rodap - Fregate Orchestra,Syn-Ka,300.0,GBP,https://www.discogs.com/sell/item/993219215
Mariya Takeuchi,Plastic Love,225.0,GBP,https://www.discogs.com/sell/item/1046129347
Mariya Takeuchi,Plastic Love,225.0,GBP,https://www.discogs.com/sell/item/1046129347
Tomoko Aran,Fuyü-Kükan = 浮遊空間,195.0,GBP,https://www.discogs.com/sell/item/988255516
Tomoko Aran,Fuyü-Kükan = 浮遊空間,195.0,GBP,https://www.discogs.com/sell/item/988255516
Yasuaki Shimizu,Subliminal,175.0,GBP,https://www.discogs.com/sell/item/988390969
Yasuaki Shimizu,Subliminal,175.0,GBP,https://www.discogs.com/sell/item/988390969
Twenty Sixty Six And Then,Reflections On The Future,2640.0,EUR,https://www.discogs.com/sell/item/1069653780
Twenty Sixty Six And Then,Reflections On The Future,2640.0,EUR,https://www.discogs.com/sell/item/1069653780
The Rolling Stones,The Rolling Stones,2277.0,EUR,https://www.discogs.com/sell/item/1069628766
The Rolling Stones,The Rolling Stones,2277.0,EUR,https://www.discogs.com/sell/item/1069628766
"Paul Chambers Quintet With Donald Byrd, Cliff Jordan*, Tommy Flanagan, Elvin Jones",Paul Chambers Quintet,1650.0,EUR,https://www.discogs.com/sell/item/1070008937
"Paul Chambers Quintet With Donald Byrd, Cliff Jordan*, Tommy Flanagan, Elvin Jones",Paul Chambers Quintet,1650.0,EUR,https://www.discogs.com/sell/item/1070008937
The Beatles,Revolver,1540.0,EUR,https://www.discogs.com/sell/item/1070323365
The Beatles,Revolver,1540.0,EUR,https://www.discogs.com/sell/item/1070323365
Dr. Z (3),"Three Parts To My Soul (Spiritus, Manes Et Umbra)",1466.66,EUR,https://www.discogs.com/sell/item/1070328858
Dr. Z (3),"Three Parts To My Soul (Spiritus, Manes Et Umbra)",1466.66,EUR,https://www.discogs.com/sell/item/1070328858
BOØWY*,Boowy Complete,4576.97,CHF,https://www.discogs.com/sell/item/1072385488
Kaori Nanao = 七緒香*,マルタナの丘,3817.14,CHF,https://www.discogs.com/sell/item/1040327330
Otokogumi*,Hit Collection,3431.31,CHF,https://www.discogs.com/sell/item/1040225399
Fishmans,Fishmans Rock Festival,2979.49,CHF,https://www.discogs.com/sell/item/983460749
浅川マキ*,幻の男たち Live 1984,2822.41,CHF,https://www.discogs.com/sell/item/941543632
The Roosters (5),"""Virus Security"" Sub Over Sentence",2242.81,CHF,https://www.discogs.com/sell/item/1069063887
Milla*,Gentleman Who Fell ,2240.75,CHF,https://www.discogs.com/sell/item/1050049820
Fate Gear,A Light In The Black,2137.11,CHF,https://www.discogs.com/sell/item/1037705780
"Samson François, Debussy*",François Debussy Recital,2101.42,CHF,https://www.discogs.com/sell/item/1055526666
Air Supply,The Whole Thing's Started,2057.89,CHF,https://www.discogs.com/sell/item/999075710
