listings,title,price,currency,url
Bruce Springsteen,"Greetings From Asbury Park, N.J.",4000.0,USD,https://www.discogs.com/sell/item/991481768
J.A.シーザー* と 悪魔の家 + 天井桟敷*,国境巡礼歌 (J・A・シーザー・リサイタル),2050.0,USD,https://www.discogs.com/sell/item/1050260233
Michael Vidal,Dream Center,1165.0,USD,https://www.discogs.com/sell/item/467259801
Johann Sebastian Bach - Janos Starker,Suites For Unaccompanied Cello Complete,999.99,USD,https://www.discogs.com/sell/item/1021882699
里国隆*,奄美の哭きうた,899.9,USD,https://www.discogs.com/sell/item/971480692
Bob Dylan,50th Anniversary Collection 1969,799.99,USD,https://www.discogs.com/sell/item/1046991888
Yuya Uchida & The Flowers,Challenge!,789.99,USD,https://www.discogs.com/sell/item/1032162236
Various,Futura: Poesia Sonora,750.0,USD,https://www.discogs.com/sell/item/827186093
Nobuo Uematsu,Final Fantasy Vinyls,749.9,USD,https://www.discogs.com/sell/item/1057563237
Yo-Yo Ma,30 Years Outside The Box,699.99,USD,https://www.discogs.com/sell/item/1055363317
Prince,His Majesty's Pop Life / The Purple Mix Club,99999.0,JPY,https://www.discogs.com/sell/item/460566847
Sex Pistols,Silly Thing,50000.0,JPY,https://www.discogs.com/sell/item/653348326
National Health,National Health,39800.0,JPY,https://www.discogs.com/sell/item/506734635
Testpattern,Après-Midi,39800.0,JPY,https://www.discogs.com/sell/item/481948019
The Dooleys,The Pop Fantasia,39000.0,JPY,https://www.discogs.com/sell/item/450498887
Nazareth (2),The Fool Circle,35921.5,JPY,https://www.discogs.com/sell/item/1015164561
Depeche Mode = デペッシュ・モード*,ピープル・アー・ピープル = People Are People,32000.0,JPY,https://www.discogs.com/sell/item/722281289
Yes,Yesshows,30548.3,JPY,https://www.discogs.com/sell/item/1015164285
Nazareth (2),2XS,30000.0,JPY,https://www.discogs.com/sell/item/1015164654
George Harrison,Cloud Nine,29800.0,JPY,https://www.discogs.com/sell/item/563086966
Masaru Imada Trio +2*,Green Caterpillar,350.0,GBP,https://www.discogs.com/sell/item/1066469032
Claude Rodap - Fregate Orchestra,Syn-Ka,300.0,GBP,https://www.discogs.com/sell/item/993219215
Mariya Takeuchi,Plastic Love,225.0,GBP,https://www.discogs.com/sell/item/1046129347
Tomoko Aran,Fuyü-Kükan = 浮遊空間,195.0,GBP,https://www.discogs.com/sell/item/988255516
Yasuaki Shimizu,Subliminal,175.0,GBP,https://www.discogs.com/sell/item/988390969
Aphrodite's Child,666,150.0,GBP,https://www.discogs.com/sell/item/990440876
Kyoko Furuya (2),冷たい水,145.0,GBP,https://www.discogs.com/sell/item/1041708064
Tabo's Project,Eyes Of A Child,140.0,GBP,https://www.discogs.com/sell/item/1057078280
Far East Family Band,Parallel World,125.0,GBP,https://www.discogs.com/sell/item/1066663862
難波弘之*,Who Done It?,125.0,GBP,https://www.discogs.com/sell/item/1013278060
Twenty Sixty Six And Then,Reflections On The Future,2640.0,EUR,https://www.discogs.com/sell/item/1069653780
The Rolling Stones,The Rolling Stones,2277.0,EUR,https://www.discogs.com/sell/item/1069628766
"Paul Chambers Quintet With Donald Byrd, Cliff Jordan*, Tommy Flanagan, Elvin Jones",Paul Chambers Quintet,1650.0,EUR,https://www.discogs.com/sell/item/1070008937
The Beatles,Revolver,1540.0,EUR,https://www.discogs.com/sell/item/1070323365
Dr. Z (3),"Three Parts To My Soul (Spiritus, Manes Et Umbra)",1466.66,EUR,https://www.discogs.com/sell/item/1070328858
Il Rovescio Della Medaglia,Io Come Io,1375.0,EUR,https://www.discogs.com/sell/item/1070383765
Odin (3),Odin,1375.0,EUR,https://www.discogs.com/sell/item/1069655854
Pink Floyd,The Dark Side Of The Moon,1319.99,EUR,https://www.discogs.com/sell/item/1070258881
David Bowie,The Man Who Sold The World,1319.99,EUR,https://www.discogs.com/sell/item/1070359186
The Rolling Stones,No. 2,1100.0,EUR,https://www.discogs.com/sell/item/1070024083
BOØWY*,Boowy Complete,4576.97,CHF,https://www.discogs.com/sell/item/1072385488
Kaori Nanao = 七緒香*,マルタナの丘,3817.14,CHF,https://www.discogs.com/sell/item/1040327330
Otokogumi*,Hit Collection,3431.31,CHF,https://www.discogs.com/sell/item/1040225399
Fishmans,Fishmans Rock Festival,2979.49,CHF,https://www.discogs.com/sell/item/983460749
浅川マキ*,幻の男たち Live 1984,2822.41,CHF,https://www.discogs.com/sell/item/941543632
The Roosters (5),"""Virus Security"" Sub Over Sentence",2242.81,CHF,https://www.discogs.com/sell/item/1069063887
Milla*,Gentleman Who Fell ,2240.75,CHF,https://www.discogs.com/sell/item/1050049820
Fate Gear,A Light In The Black,2137.11,CHF,https://www.discogs.com/sell/item/1037705780
"Samson François, Debussy*",François Debussy Recital,2101.42,CHF,https://www.discogs.com/sell/item/1055526666
Air Supply,The Whole Thing's Started,2057.89,CHF,https://www.discogs.com/sell/item/999075710
