listings,title,price,currency,url
Pascal Comelade,33 Bars,4053.62,EUR,https://www.discogs.com/sell/item/1074434821
Hermann Nitsch,Requiem Fur Meine Frau Beate,966.79,EUR,https://www.discogs.com/sell/item/1074414494
Godfried Willem Raes*,Bellenorgel,450.0,EUR,https://www.discogs.com/sell/item/1074422162
Lucien Goethals / Karel Goeyvaerts,IPEM 1963-73,332.75,EUR,https://www.discogs.com/sell/item/1074422163
Joris Van De Moortel,The Shortest Song Goes On And On,279.99,EUR,https://www.discogs.com/sell/item/1074421827
Milan Knizak*,Traditional Suite,272.25,EUR,https://www.discogs.com/sell/item/1074410055
Hearts Of Soul & Shampoo (9),We Love The Policeman,267.41,EUR,https://www.discogs.com/sell/item/1074444206
Various,De Pre Historie - 185 Original Hits 1980-1989,250.0,EUR,https://www.discogs.com/sell/item/1074429728
André Almuro,Prolégosphère,250.0,EUR,https://www.discogs.com/sell/item/1074424301
Various,De Pre Historie - 185 Original Hits 1980-1989,250.0,EUR,https://www.discogs.com/sell/item/1074429729
Various,De Pre Historie - De Jaren 80 Volume 2,250.0,EUR,https://www.discogs.com/sell/item/1074429731
Various,Warp20 (1989-2009),242.0,EUR,https://www.discogs.com/sell/item/1074435917
Kraftwerk,The Catalogue 12345678,242.0,EUR,https://www.discogs.com/sell/item/1074423986
Various,Voooxing Poooêtre,242.0,EUR,https://www.discogs.com/sell/item/1074424737
Pink Floyd,Meddle,242.0,EUR,https://www.discogs.com/sell/item/1074424878
Þursaflokkurinn*,Gæti Eins Verið...,242.0,EUR,https://www.discogs.com/sell/item/1074409860
Ron Hardy,Sensation,226.88,EUR,https://www.discogs.com/sell/item/1074404149
Various,De Pre Historie - De Jaren 90,225.04,EUR,https://www.discogs.com/sell/item/1074429730
Vaclav Nelhybel,Sketches Of Mood Music-Vol. 1,223.85,EUR,https://www.discogs.com/sell/item/1074435423
Thelonious Monk,The Unique Thelonious Monk,199.99,EUR,https://www.discogs.com/sell/item/1074422149
Cressida (3),Cressida,199.99,EUR,https://www.discogs.com/sell/item/1074435133
November Növelet,From Heaven On Earth,199.99,EUR,https://www.discogs.com/sell/item/1074438893
Daryl Jackson (2),Time 2 Start Again,199.0,EUR,https://www.discogs.com/sell/item/1074449135
The System (8),Logic,199.0,EUR,https://www.discogs.com/sell/item/1074431101
Chicane,Red Skies,199.0,EUR,https://www.discogs.com/sell/item/1074437331
Various,80's 12inch Special,195.0,EUR,https://www.discogs.com/sell/item/1074438672
Alvin Lucier,Illuminated By The Moon,181.5,EUR,https://www.discogs.com/sell/item/1074451384
Various,Microfonie Van Zuidnederlandse Schrijvers 2,181.5,EUR,https://www.discogs.com/sell/item/1074422309
Ton Bruynèl,Signs,181.5,EUR,https://www.discogs.com/sell/item/1074424002
Them (3),Again,180.0,EUR,https://www.discogs.com/sell/item/1074435097
Nick Cave & The Bad Seeds,Abattoir Blues / The Lyre Of Orpheus,173.34,EUR,https://www.discogs.com/sell/item/1074423880
Various,The Synthesis Of Music,163.35,EUR,https://www.discogs.com/sell/item/1074432643
Jacques Bekaert,Jacques Bekaert,163.35,EUR,https://www.discogs.com/sell/item/1074435751
Bruno Letort,Le Monde Sonore De François Schuiten,163.35,EUR,https://www.discogs.com/sell/item/1074424098
Vittorio Gelmetti,Organum Quadruplum - Ipotesi A - L'Opera Abbandonata,151.25,EUR,https://www.discogs.com/sell/item/1074409826
Michael Prophet,Judgements,151.25,EUR,https://www.discogs.com/sell/item/1074420225
Vitalic,Poison Lips,150.0,EUR,https://www.discogs.com/sell/item/1074442775
London Jazz Quartet,London Jazz Quartet,150.0,EUR,https://www.discogs.com/sell/item/1074431192
Mr. YT,Brand New Day,150.0,EUR,https://www.discogs.com/sell/item/1074431096
Etkin* / Gandini* / Iturriberry*,Tres Composiciones Instrumentales,150.0,EUR,https://www.discogs.com/sell/item/1074424293
Achille Chavée,Achille Chavée,148.83,EUR,https://www.discogs.com/sell/item/1074438589
Terri Gonzalez,How Good It Is / Caught Up (In One Night Love Affairs),147.01,EUR,https://www.discogs.com/sell/item/1074424554
Fingers Inc.,Another Side,145.2,EUR,https://www.discogs.com/sell/item/1074424285
Atlantis People / The Coach House Rhythm Section,Stormy Weather / No Such Thing,145.2,EUR,https://www.discogs.com/sell/item/1074449689
Various,Steps In Stone EP,143.69,EUR,https://www.discogs.com/sell/item/1074403225
"Soiled (4), Warp Seven",Soiled/Warp Seven Split-LP,140.0,EUR,https://www.discogs.com/sell/item/1074433579
"Soiled (4), Warp Seven",Soiled/Warp Seven Split-LP,140.0,EUR,https://www.discogs.com/sell/item/1074433580
Herbert Brün,Klänge Unterwegs Und Anepigraphe,139.15,EUR,https://www.discogs.com/sell/item/1074434035
Jim Noir,Jim Noir,134.54,EUR,https://www.discogs.com/sell/item/1074408239
Autechre,Incunabula,131.89,EUR,https://www.discogs.com/sell/item/1074436772
D.F. Sadist School - Philippe Fichot / Die Form,The Visionary Garden 2,130.0,EUR,https://www.discogs.com/sell/item/1074424432
Villalobos*,Alcachofa,129.47,EUR,https://www.discogs.com/sell/item/1074439615
Frederic Rzewski,Attica / Coming Together / Les Moutons De Panurge,125.11,EUR,https://www.discogs.com/sell/item/1074425439
The Machines (7),Electro Springs,125.0,EUR,https://www.discogs.com/sell/item/1074424559
Four Tops,Fourever,124.99,EUR,https://www.discogs.com/sell/item/1074432754
Pretty Things*,Parachute,124.99,EUR,https://www.discogs.com/sell/item/1074435109
Joe Jones,Fluxus Is Dead,124.99,EUR,https://www.discogs.com/sell/item/1074444057
Frisk,Untitled,124.99,EUR,https://www.discogs.com/sell/item/1074433535
MCMLXV,#2 [Orange],124.99,EUR,https://www.discogs.com/sell/item/1074436625
Various,Belgian New Beat - The Vinyl Box,124.63,EUR,https://www.discogs.com/sell/item/1074438978
"Bell Telephone Laboratories, Inc.",Synthesized Speech,124.63,EUR,https://www.discogs.com/sell/item/1074434133
Various,Belgian New Beat - The Vinyl Box,124.63,EUR,https://www.discogs.com/sell/item/1074438979
Sweet Pain (3),Sweet Pain,120.0,EUR,https://www.discogs.com/sell/item/1074435111
Achwghâ Ney Wodeï*,Triptyque,119.79,EUR,https://www.discogs.com/sell/item/1074410044
Milan Knížák,Obřad Hořící Mysli,119.79,EUR,https://www.discogs.com/sell/item/1074410053
Poul Rovsing Olsen / Finn Savery / Henning Christiansen,"Prolana Op. 33 For Klarinet, Violin Og Klaver / Sonate For Kontrabas Og Klaver / Sonate For Violin Og Klaver Op. 13",119.79,EUR,https://www.discogs.com/sell/item/1074410062
Model Citizen,Young & Intelligent,119.79,EUR,https://www.discogs.com/sell/item/1074436771
The Scumfrog,The Scumfrog's Productions - WMC 2002,119.79,EUR,https://www.discogs.com/sell/item/1074435940
Ludo Mich,Music From Films By Ludo Mich,119.79,EUR,https://www.discogs.com/sell/item/1074410813
Forseti,Jenzig,109.99,EUR,https://www.discogs.com/sell/item/1074438879
Van Der Graaf Generator,Pawn Hearts,106.66,EUR,https://www.discogs.com/sell/item/1074424376
Pierre Schaeffer,Anamorphoses I & II,106.48,EUR,https://www.discogs.com/sell/item/1074423799
The Electric Junkyard,The Electric Junkyard,100.91,EUR,https://www.discogs.com/sell/item/1074404958
Kim Rapatti,Instrument  I - V,99.99,EUR,https://www.discogs.com/sell/item/1074433577
Meat Loaf,Bat Out Of Hell II: Back Into Hell...,99.99,EUR,https://www.discogs.com/sell/item/1074424405
Roosevelt Holts,Presenting The Country Blues,99.99,EUR,https://www.discogs.com/sell/item/1074435152
Lucky & Easy,Pimp Soul Blister EP,99.99,EUR,https://www.discogs.com/sell/item/1074424611
Charly Antolini's Power Dozen,Atomic Drums,99.99,EUR,https://www.discogs.com/sell/item/1074450048
Henryk Mikołaj Górecki*,III Symfonia Pieśni Żałosnych Op. 36,99.99,EUR,https://www.discogs.com/sell/item/1074432537
Champion Jack Dupree,When You Feel The Feeling You Was Feeling,99.99,EUR,https://www.discogs.com/sell/item/1074435121
Webster Lewis,My Tutor (Original Motion Picture Soundtrack),99.99,EUR,https://www.discogs.com/sell/item/1074434510
Meat Loaf,Bat Out Of Hell II: Back Into Hell...,99.99,EUR,https://www.discogs.com/sell/item/1074424403
Meat Loaf,Bat Out Of Hell II: Back Into Hell...,99.99,EUR,https://www.discogs.com/sell/item/1074424404
John Paynter,Hear And Now. An Introduction To Modern Music In School.,99.99,EUR,https://www.discogs.com/sell/item/1074432761
Various,Bel 2000 - De Beste Belpop Van 2005 > 2009,99.99,EUR,https://www.discogs.com/sell/item/1074429721
Jerome,Rebound,99.99,EUR,https://www.discogs.com/sell/item/1074433506
Die Form,Best Of XXX,99.99,EUR,https://www.discogs.com/sell/item/1074424431
Rosa King,Rosa King And Upside Down,99.99,EUR,https://www.discogs.com/sell/item/1074438117
Villalobos*,Alcachofa,99.99,EUR,https://www.discogs.com/sell/item/1074435634
154*,Dusk EP,99.99,EUR,https://www.discogs.com/sell/item/1074433703
Siren (13),Siren,99.99,EUR,https://www.discogs.com/sell/item/1074435123
The Information Society*,Insoc E.P.,99.99,EUR,https://www.discogs.com/sell/item/1074422191
Moodymann,The Dancer,98.01,EUR,https://www.discogs.com/sell/item/1074436130
Diplo & Blaqstarr,Get Off,96.8,EUR,https://www.discogs.com/sell/item/1074424568
Diplo & Blaqstarr,Get Off,96.8,EUR,https://www.discogs.com/sell/item/1074424569
Caustic Window,Compilation,95.59,EUR,https://www.discogs.com/sell/item/1074438195
Dorothys Fortress,Django The Bastard Edits EP,95.0,EUR,https://www.discogs.com/sell/item/1074441793
Ian Carr With Nucleus (3),Solar Plexus,94.38,EUR,https://www.discogs.com/sell/item/1074443156
The Free Pop Electronic Concept,A New Exciting Experience,90.75,EUR,https://www.discogs.com/sell/item/1074435113
Nicolas Schöffer,Hommage À Bartók,90.75,EUR,https://www.discogs.com/sell/item/1074410065
