index	artist	title	year	Medium	Dimensions	Credit	Object number	Copyright	Department	Manufacturer	Collaborating artist	Model maker	Printer	Engineer	Fabricator	Delineator	Publisher	Edition	Type	Portfolio
0	Le Corbusier (Charles-Édouard Jeanneret)	Bol, Pipes, et Papiers Enroulés	1919	Pencil on paper	"17 1/2 x 21 1/2"" (44.5 x 54.6 cm)"	The Riklis Collection of McCrory Corporation	914.1983	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints											
1	Le Corbusier (Charles-Édouard Jeanneret)	Still Life	1920	Oil on canvas	"31 7/8 x 39 1/4"" (80.9 x 99.7 cm)"	Van Gogh Purchase Fund	261.1937	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Painting and Sculpture											
2	Le Corbusier (Charles-Édouard Jeanneret)	L'Esprit Nouveau letterhead (Letter to Naum Gabo from Paul Dermée)	1920	Letterpress	"11 7/8 × 8 3/8"" (30.2 × 21.3 cm)"	Elaine Lustig Cohen Collection, gift of Lawrence Benenson and the Committee on Architecture and Design Funds	1230.2015		Architecture and Design											
3	Le Corbusier (Charles-Édouard Jeanneret)	Still Life with Objects	1923	Conté crayon on paper	"26 1/2 x 37 5/8"" (66.5 x 95.5 cm)"	Gift of Lily Auchincloss	303.1989	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints											
4	Alfred Roth, Le Corbusier (Charles-Édouard Jeanneret)	Bed Frame	1927	Tubular nickel-plated brass and steel	"frame (.a): 6 x 35 5/8 x 73 3/4"" (15.2 x 90.5 x 187.3 cm)
head (.b): 23 3/4 x 35 1/2 x 3/4"" (60.3 x 90.2 x 1.9 cm)
foot (.c): 17 1/2 x 35 1/2 x 3/4"" (44.5 x 90.2 x 1.9 cm)"	Gift of Curt Valentin	550.1953.a-c	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design	Thonet Frères, Paris, France										
5	Le Corbusier (Charles-Édouard Jeanneret), Pierre Jeanneret	Les Terrasses, Villa Stein-de-Monzie, Garches, France	1926	Acrylic, wood, metal and paint	"35 1/4 × 35 1/4 × 20 7/8"" (89.5 × 89.5 × 53 cm)
Vitrine: 30 × 45 × 45"" (76.2 × 114.3 × 114.3 cm)
Tray: 3 × 45 × 45"" (7.6 × 114.3 × 114.3 cm)"	Lily Auchincloss Fund	MC 58	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design		with Pierre Jeanneret	Paul Bonfilio, Ted Spagna								
6	Le Corbusier (Charles-Édouard Jeanneret), Pierre Jeanneret, Charlotte Perriand	Chaise Longue (LC/4)	1928	Chrome-plated steel, fabric, and leather	"26 3/8 x 23 x 62 3/8"" (67 x 58.4 x 158.4 cm)"	Gift of Thonet Industries, Inc.	223.1950	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design	Thonet Frères, Paris, France										
7	Le Corbusier (Charles-Édouard Jeanneret), Pierre Jeanneret, Charlotte Perriand	Armchair with a Tilting Back (Siège à Dossier Basculant)	1928	Chrome-plated tubular steel and canvas	"26 1/8 x 25 5/8 x 26"" (66.3 x 65.1 x 66 cm)"	Gift of Thonet Brothers, Inc.	281.1934	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design	Thonet Frères, Paris, France										
8	Le Corbusier (Charles-Édouard Jeanneret)	Urban projects for Montevideo and São Paulo, Brazil. Aerial perspectives	1929	Ink on paper	"10 5/8 x 6 1/2"" (27 x 16.5 cm)"	Emilio Ambasz Fund	404.1985	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design											
9	Le Corbusier (Charles-Édouard Jeanneret), Pierre Jeanneret	Palace of the League of Nations, project, Geneva, Switzerland, Ground floor and site plan, second scheme	1929	Watercolor and ink on lithograph	"43 x 45"" (109.2 x 114.3 cm)"	Artur Walther Purchase Fund	208.2003	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design											
